TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Botswana,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,198,212,230,248,270,270,392,418,418,418,670,922,1094,1246,1307,1649,1681,1876,1710,1951,1040,1066,1231,2002,1753,1732,1332,1656,1836,2128,2088,2390,2617,2743,2848,2948,3056,3211,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,35489,39967,45248,50602,56549,61502,66784,72205,79308,87084,92138,98716,106420,112432,118260,123973,129715,136591,143233,151038,155225,163516,172559,181238,199332,211860,230450,247766,257900,276156,258494,264474,281095,288626,310403,317776,332111,349373,363679,384109,404017,430614,452624,479758,482702,476093,480624,489554,507752
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,335,335,331,338,338,338,338,338,338,464,641,767,922,1015,1037,1051,1408,1480,1530,1584,1613,1904,2473,2938,3618,4417,5479,5821,5659,5911,5263,5814,5972,7204,7596,7664,7992,5011,5245,5591,5890,5965,5857,6534,6602,6152,6111,6435,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,5260,6592,8021,9176,10253,9209,12985,16790,14904,14882,18000,19800,21600,16081,15210,16304,17456,16628,5206,14209,13363,8993,14382,14519,15214,17046,15289,14904,15912,18414,18518,20308,21560,20765,22115,24793,25175,26924,26759,29164,30373,29412,28634,28192,29074,30618,30362,30494,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,115,176,212,274,310,392,486,619,680,695,853,1044,1354,1609,1696,1958,2365,3218,3492,4039,4961,9544,9122,11063,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,133,220,241,259,292,331,374,436,504,551,594,716,770,810,961,936,1022,1022,1033,983,990,1055,1080,918,900,1001,1091,1231,1246,1202,1202,1418,1541,1703,1609,2898,3028,3593,3557,3730,3881,4057,4277,4529,1717,1541,1741,1854,..
Canada,57600,61200,72000,82800,90000,97200,108000,118800,129600,140400,154800,156064,186739,205042,210773,212594,232607,253138,245473,258955,261284,270475,278572,290300,298588,304934,328608,345319,371815,385319,390096,397955,397555,408031,409471,421229,426906,436612,431338,436770,452992,445205,466733,474430,483401,420613,415174,433984,448092,448092,457081,468047,462658,473764,491656,491868,491587,525841,538855,..
Chile,..,..,..,..,..,..,..,..,..,..,..,3337,3600,3571,3802,3852,4216,3928,4342,4626,4867,5522,5522,5875,7088,6502,6502,6588,7200,7952,2531,2653,2891,3139,3424,3679,4111,12571,13932,14771,16236,18130,19109,20934,24041,25502,26852,27583,27490,28652,32461,33674,33505,39269,41040,42455,42800,46161,42524,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23713,25416,29812,36662,40349,71438,81256,94471,105660,129406,144216,193079,185778,202662,221400,252637,272909,283842,342619,393768,420430,460606,506344,550274,606388,691070,793890,879340,965783,1028113,1096891,1198616,1316498,1503276,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,6300,6242,6898,8824,7672,8287,8788,9493,9990,11002,11290,12024,13262,13514,14202,18526,15631,15214,16812,18623,19595,19386,20675,22349,22928,23760,24462,28055,27050,32767,28058,29477,30319,32663,33044,34531,35568,36101,40111,41314,42142,43776,44482,46170,47030,47581,57223,47862,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2156,2387,2793,2821,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,72,83,94,97,119,122,133,158,166,155,252,263,266,284,295,295,310,328,2830,2927,2945,3193,3287,3575,3769,3989,4396,4878,5234,5630,5951,6311,6934,7481,8024,8633,9389,9976,10303,10814,11138,11754,12056,12420,12816,13334,13246,13712,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,972,1030,1120,1199,1253,1440,1440,1552,2113,1570,1796,1706,1580,1105,1379,1411,2239,2459,2333,2491,2156,2524,2297,2570,2761,2891,2668,2923,2923,2938,3485,3632,3661,2563,2779,4723,4716,4892,4594,4500,3348,4414,4529,6923,7531,8140,8403,8369,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8521,7070,6275,6761,7592,8392,9122,9922,9680,10307,10534,11606,12542,13525,14508,15887,16870,17543,19037,19120,19386,19858,19847,19393,18774,19458,19559,20798,21403,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,2290,2660,2934,2970,3024,3377,3222,3532,4097,7330,4453,4547,4529,4669,8863,9590,10120,11167,11923,9306,8262,6520,6520,6811,7423,7963,9018,9486,10289,11452,11995,12244,13442,13309,11092,11286,11700,13226,12200,9893,9864,9821,10368,11124,11722,11142,10542,10446,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,724,731,727,752,847,859,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,65,72,76,68,61,61,65,724,68,72,76,72,72,76,1120,1192,1310,1483,1620,2203,2365,2542,2729,2995,3017,3064,3676,3877,4489,4504,5242,5702,5990,6164,6431,6690,7028,7442,7792,8123,7698,7202,6431,6618,6791,7436,7548,7827,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,6203,6624,7232,8068,9731,9925,10728,11189,11405,11884,11704,11592,12874,14702,15322,15797,16268,16762,14332,13118,14558,21323,29239,30056,33080,35629,36544,37217,36900,41612,42656,40964,45331,45360,46480,48211,49568,51610,50537,53464,52096,52088,53312,52070,53550,55177,56226,57699,..
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5080,5119,1620,1195,785,817,871,680,677,738,695,745,4396,4741,2894,2664,2567,3603,1154,..
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,12524,12060,13291,15502,17287,19922,21600,22010,21272,21553,22752,23882,25290,26482,27961,28714,29002,30215,30960,31597,32116,32897,33023,33872,34189,35006,35208,35834,36644,36889,36680,37436,37699,38653,39560,39514,38448,39006,38362,37732,36817,37037,36314,36780,38467,38140,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5681,6746,7106,8186,8201,7128,5486,6566,7481,7988,8676,8964,10256,10573,11776,11282,12852,12931,13529,14854,15483,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,119,126,158,180,252,324,396,540,839,922,922,1174,1256,1422,461,1548,1757,1937,2405,3528,3856,4126,4234,4871,5159,5695,6278,6984,6674,7135,7441,7776,8928,9054,9655,10278,14368,14303,14490,15080,16675,18180,19962,21712,23177,23879,24466,24979,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32900,39992,42941,47441,50436,55289,60793,65351,72119,78354,84560,90252,93647,99799,101376,103464,121957,135835,132433,132811,141332,141847,144761,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,331,360,389,418,457,536,572,626,644,1292,1264,1264,1444,1577,1735,1832,1858,1951,2002,2185,2315,2419,2866,3240,3593,3694,4068,4136,3586,1660,1721,1897,2221,2254,2185,1922,1987,2128,2131,2156,2210,5792,4529,6044,6325,6250,6410,6268,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,580,1152,1296,1440,1512,1441,1353,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68,68,79,108,90,101,112,119,115,191,223,238,238,252,216,230,241,245,274,299,320,335,346,353,360,378,480,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,760,932,3658,3100,4349,4414,4471,4982,5425,4666,5044,5324,5652,5990,6660,6944,7834,8489,9191,9212,9040,8561,9130,9108,10062,10127,10696,9776,10559,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,248,220,306,317,317,331,299,317,367,392,414,443,479,518,565,569,540,468,432,371,410,428,443,479,518,605,666,986,1094,1217,1393,1426,1616,1843,2106,2304,2498,2653,3024,3492,3740,4295,5897,5465,6912,8579,8665,8895,..
Finland,3240,3528,4010,4338,4860,5418,6145,6912,7913,8881,9378,10098,11390,12676,12708,13874,15574,16070,17442,18533,19793,21002,22734,26449,27047,28778,29902,32584,33880,35334,37444,38682,39427,39733,40468,41152,42606,43733,45202,46386,47833,50872,52726,52823,54623,55883,57373,58320,59576,62114,64246,62147,64285,63018,62852,62820,63522,63072,65520,..
France,27702,30157,34409,39416,46966,46051,49298,52621,57272,63144,69761,76957,86105,96692,102107,110218,119894,129550,141836,149368,156935,162205,169736,182534,191923,204296,231116,245239,254819,271634,290743,315072,323147,326718,341795,342040,348721,341269,348268,359388,382727,391601,391363,418259,433213,450677,467726,479581,476935,492005,520790,488671,510691,511568,489578,501635,503466,501777,498556,..
Gabon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,65,72,76,79,79,83,86,86,90,90,90,94,94,540,540,540,540,540,500,392,572,562,536,461,536,572,605,626,626,641,680,706,742,745,788,832,882,932,972,1004,1094,1089,1098,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3514,11034,11153,12294,9367,2048,972,839,1015,8482,7952,6383,6901,7153,7272,7632,7002,7207,7376,3870,2099,3852,4036,9259,9241,9162,10375,10987,13612,..
Germany,48535,54684,61294,64688,70074,78300,88758,93132,105487,116881,126004,143658,163714,144295,149310,160070,173858,182934,196927,205063,209632,220270,223960,230756,240448,248753,255758,267865,274003,281581,316361,372020,364738,369994,368035,371225,383519,387932,400594,410393,451631,452308,486857,512042,508378,494658,511726,496364,511870,520747,517842,490702,501156,511423,473454,506650,509706,509324,493549,..
Ghana,..,..,..,..,..,..,..,..,..,..,..,378,432,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,1422,1652,1411,1314,2095,2218,2318,2412,2606,2740,3233,3251,3629,3845,4392,5382,6905,7117,7448,7438,9252,10153,9571,..
