TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Canada,2203,2156,2812,3060,3424,3589,4547,4806,5216,6480,6264,6962,8129,11650,11999,10350,9364,9490,6934,8226,8222,7643,7704,8611,9302,9695,10076,10681,12118,12118,11768,11236,12276,13064,13262,13950,13820,15322,18666,18040,16283,15502,14436,15005,15376,15322,16312,15358,15862,14983,14699,15016,15368,19872,21546,24181,27119,28314,28656,..
Chile,..,..,..,..,..,..,..,..,..,..,..,778,835,695,720,634,702,731,760,734,713,713,724,796,810,814,803,839,788,720,763,803,814,900,781,720,720,756,749,695,792,832,770,792,839,907,1166,1469,1534,1519,1555,1721,1800,1930,3398,3917,3550,3469,4144,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,4388,4835,5288,5353,6210,6440,7085,8136,8939,9540,10476,10764,12888,14904,12791,13500,15476,18058,19915,21370,23648,27461,29506,33098,34787,49208,48827,41332,44978,59929,71489,76903,104382,120910,116330,139698,163130,177678,197323,231656,258707,282236,305662,324468,355507,405295,460919,509183,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,166,166,162,155,151,155,155,155,205,205,209,216,223,227,234,295,306,328,346,348,376,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,43,43,40,32,32,40,40,32,40,29,43,25,43,36,29,29,25,25,54,54,50,18,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1328,1184,788,706,529,547,554,569,810,749,878,821,878,893,871,940,958,997,994,961,961,940,896,857,832,882,904,963,1015,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,119,126,137,144,158,173,184,202,223,238,252,263,274,338,306,295,302,320,342,320,277,198,191,187,230,216,238,277,324,349,356,349,367,331,371,396,623,1004,950,904,914,929,1066,1087,1123,1033,1056,1044,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
