TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chile,..,..,..,..,..,..,..,..,..,..,..,630,644,644,734,428,65,65,68,72,68,72,72,65,76,83,104,108,108,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16136,20124,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,482158,531856,578371,604093,663223,681807,750002,824971,848315,789226,782139,800478,831665,894620,890298,943620,982471,1029393,1017963,1219954,1265269,1236767,1243111,1294376,1424670,928331,1493496,1601751,1679040,780729,840080,912324,1043308,1184361,1313021,1383307,1362380,1322083,1370607,1433489,1502623,1552597,1653589,1701113,1737146,1794037,1861452,1892621,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,8479,12703,3953,6596,36423,39411,39539,42831,43487,43673,42913,46045,37715,42046,42605,46327,46125,56847,59195,56337,43538,62832,53425,60046,62006,61598,58742,61280,55664,51857,51231,54689,54552,58899,57415,53651,50906,53675,69564,69240,74448,78293,25298,24671,24259,22924,8994,10331,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,880,1901,2285,2798,2991,3185,3685,3937,4224,4984,6242,6806,5696,5811,3131,3201,3327,3087,2801,2697,2733,2991,3109,3157,3132,3138,3410,3593,3147,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,1296,1521,1269,1446,1539,1940,2259,2446,2598,2703,2627,2201,1908,1674,1681,1887,2157,2273,2175,2132,2222,2139,2099,2056,2417,2388,2706,2244,3081,2922,2847,2663,2316,2215,2172,2035,3027,2886,3095,3153,3045,3724,3810,3854,4676,4503,5869,4218,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17980,10513,9267,9136,9179,8313,7670,8500,9242,10878,10867,10053,9219,9350,8617,8839,8868,8664,9269,9063,8898,9036,8368,8247,8581,8477,8599,8553,8797,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,9597,9982,10801,11022,12199,12714,13153,13513,13689,14348,15674,15631,14759,15975,18248,17400,16720,18083,21085,19211,16622,16503,13393,13560,12338,13285,13816,13335,13310,11143,10327,8125,7585,8939,8928,8685,8651,8973,8143,7840,7387,7358,8388,9022,8882,9014,8560,8819,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,83,104,119,65,43,50,65,68,79,83,90,104,112,130,133,151,151,144,158,194,209,198,202,220,248,284,274,306,320,342,335,364,407,410,1575,1697,1731,1580,1449,1463,1595,1537,1581,1481,1620,1736,1814,1767,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,47080,46367,46531,43967,53161,55485,59262,62691,65228,61996,60086,54150,56370,57541,61359,63498,68201,69968,67958,64309,61965,48737,46478,46255,51660,31383,24358,22911,27267,27626,25652,24108,23778,23567,23157,23406,21748,21703,21379,22730,22824,23482,25426,25642,25307,26716,26672,25840,..
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54,43,36,36,54,54,54,58,3068,3012,2881,2635,3012,4877,5088,5713,5931,6374,6212,6365,6702,7289,7088,7371,8005,8157,8425,..
Denmark,12479,12422,13086,13225,14274,17210,17081,19362,24140,25809,33780,33497,34782,51328,41332,43246,50593,51516,53053,60201,52251,49711,44049,42579,39747,29809,31098,30845,30179,29743,30858,32279,32114,31762,31429,31213,32923,32723,31467,31246,30965,30574,29861,29440,28888,28606,30000,28515,29599,29542,30552,28908,28012,27736,26208,26526,26365,25246,24908,..
