TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,8122462,8373116,8552885,8686440,9134727,9274404,9666000,9935117,10093622,10066322,10274715,10439874,10661411,10932033,11276292,11452045,11705249,12053485,12130654,12175916,12359257,12192615,12241930,12092021,12351036,11680752,12290644,11663118,11709564,11627748,11375291,11438562,11581635,11824883,11962666,12296619,12199818,11753552,11763579,11738398,11883868,12053785,12448340,12762600,13161500,13579302,14024446,14460210,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,200867,175051,181444,176925,172319,171025,174100,176787,179422,181741,185009,187458,191897,195559,195718,201269,207240,211472,227099,231295,235661,208190,220041,219496,225945,231600,169176,164638,173553,176247,179868,180967,191654,177088,182186,203871,211314,211308,208952,205942,209035,208366,259475,261625,257974,257365,248336,257614,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,10794,11074,11329,11680,12031,12334,12582,12756,12944,13148,13293,13886,14189,14819,14986,15832,15902,16171,16493,16865,17449,17820,18068,17645,17445,18099,17840,17275,16957,13201,14346,15624,17052,17585,19709,31496,23143,25099,27358,29596,47366,49377,50847,51990,44622,46227,47258,48472,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,7974,8367,8669,8897,9267,9865,10091,10658,10822,11487,11555,11835,12240,12869,13397,14142,14905,15281,13109,13486,14048,14751,14845,15477,16155,16712,12421,12007,12575,13609,15077,16734,17879,22208,24833,27497,25254,24341,22581,23368,22139,21598,21360,20609,20806,20621,20652,19481,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,39297,40715,42124,43478,45302,47046,48778,50862,53047,55968,57948,59959,62012,64075,66353,69076,71420,74732,77039,78836,81781,84024,86429,88881,91257,94987,98757,100541,103484,106311,106171,109359,111202,150718,154523,158662,160829,161422,151822,171244,195043,202465,209140,214372,174750,174304,184662,186422,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82690,96279,84030,87178,83220,91704,99960,99954,100122,104208,95992,103290,103910,113150,112937,117777,111022,105498,107948,110116,115288,110016,106576,103690,92727,101057,100142,99463,95575,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,60431,63949,66242,70619,68049,70051,74652,75085,78295,83341,78200,82397,85702,88637,92387,95245,94303,97678,99026,100251,99236,78800,63245,62669,64544,63969,64686,63724,65139,69123,67076,63773,67478,74738,68782,50154,43785,43343,43190,43850,45245,45856,47653,47899,49103,50954,51116,51844,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,5708,4481,4711,4481,4588,4767,4963,4755,5370,5606,5773,5168,4895,4301,4152,4152,3111,2444,2721,3223,3223,3443,3861,3989,4080,4266,2649,2696,2743,2791,2838,2885,2933,2980,3027,3075,3122,3122,3169,3216,3216,3144,3141,3206,3278,3387,3389,3378,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,2260,2511,2602,2214,2027,2271,2335,2346,2446,2699,2645,2834,3005,3072,3147,3251,3626,3849,3965,4386,4469,5374,5378,5646,5809,6086,6254,6457,6541,7268,7221,7982,8663,8346,13166,13648,14125,13861,14931,14007,14838,14646,12778,12239,13597,13973,14379,13637,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,339866,323211,294674,267272,278224,290079,313272,285714,332202,312035,311417,307506,325632,342310,364161,374349,402851,392702,353616,307451,294223,271877,267617,268389,275652,307373,292616,275270,273331,269463,293450,281248,290112,285642,278676,283542,267748,271665,277418,309977,285481,295686,301713,271396,279965,292809,296823,289274,..
