TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Botswana,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,506,543,557,949,1024,1079,1385,1369,1439,1605,1690,2182,2485,2917,3836,4534,5115,5148,5315,5813,5736,6319,7054,7006,7750,9395,10420,10864,12741,16832,22128,27552,28947,35552,38137,39642,40875,49516,39280,51267,50649,60346,72339,79858,78837,66162,70632,68358,..
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,229,238,529,957,1223,1620,1771,1640,1680,2150,2159,2190,2328,2382,2341,2342,2365,2450,2401,2524,2595,2678,2872,3086,3379,3439,3706,3054,2955,3234,3124,3093,3938,3624,3532,5761,5282,5498,5688,5140,5143,4977,4941,4808,4060,4508,4779,5179,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,581,391,394,859,2282,3991,5093,5433,5812,7471,8127,8993,9450,9935,10837,10762,12001,11658,12001,11033,9869,8780,7295,7255,9171,9166,7888,6766,5708,5987,5393,4888,5086,5003,5654,5974,6132,5895,4561,4798,5428,5188,4964,4892,5106,5069,5218,5120,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,585,483,488,348,418,594,862,958,1034,1149,1508,..
Canada,20729,25027,29312,31766,36067,39661,45111,49308,55305,62494,62528,68242,78069,83023,86073,87800,89762,94854,91259,95161,96548,94182,95667,93739,100812,108620,107601,106655,117720,122599,119107,118999,125237,130825,137868,143381,150585,151254,146304,153409,162562,156189,164115,172142,166515,167084,164888,175766,174165,168891,171446,188880,191807,202926,214019,212265,206329,211167,229495,..
Chile,..,..,..,..,..,..,..,..,..,..,..,1323,1205,946,985,1120,1220,1256,1173,1388,1422,1400,1449,1564,1600,1596,1462,1420,1993,3108,940,1012,1035,913,974,1018,1016,1926,3277,4343,6691,8474,8318,9873,11134,10563,8511,5108,3390,4574,8727,10221,9002,9200,7708,8279,8716,9216,9206,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,7360,9525,11767,14813,17414,19872,23844,26951,28500,28105,25044,23494,24040,24897,16216,17266,18077,17882,19092,19814,19931,20895,25101,23939,26841,25829,29979,28998,31664,35822,42131,43347,52452,63801,71475,94061,117332,135199,151158,224685,232587,258217,299491,329231,348839,379311,441132,519178,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,2626,3208,3324,3459,3260,3475,3889,4817,5195,5730,6187,6671,7384,7332,7358,7487,7601,7630,7282,7557,7792,7668,7961,7876,8376,9109,11459,13306,11493,12818,13580,13530,13022,13700,14375,14406,14258,15285,17482,18518,17494,18144,18736,19230,19815,20687,18932,19685,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,4,4,4,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,39,45,47,42,50,107,198,290,419,433,463,1008,1155,1214,1214,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,879,1442,1777,2976,2976,2998,3039,2677,2630,2939,2888,2963,3118,2842,3116,3072,3350,3848,3880,3997,3562,4427,3830,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4175,3670,3743,4247,3930,3417,3874,4015,3993,3940,4004,4393,4583,4455,4714,4531,4508,5210,4973,4739,5076,4797,4232,4190,3545,3694,3941,4641,4287,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,76,79,81,143,209,273,186,213,126,141,144,129,133,153,135,147,134,140,140,146,135,147,147,155,171,165,165,325,954,1121,1162,1141,1282,1368,1439,2089,2325,2205,2194,2038,1946,1967,2028,2275,2356,2246,1994,1841,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,1866,2026,2225,2713,3106,3429,3897,4367,4899,5643,5661,5997,7036,7489,9173,9717,10625,10738,11060,11515,11338,12650,12805,12760,14603,16973,17457,17366,17582,17090,18397,17789,18040,18109,17873,17537,16588,16247,15289,17344,15818,15585,15823,14017,14730,15985,16490,15602,..
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,46,46,46,46,46,0,0,4,2,1,1,1,..
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,46,72,121,330,1479,2577,3344,3663,3921,4175,4740,4992,5664,6353,7373,8700,9172,9976,10498,10439,10871,10860,10991,10942,10513,10719,9591,9644,9249,10366,8757,8210,7739,6682,6789,6999,6797,6718,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,295,407,667,970,1010,982,1586,1827,2166,2215,2180,2202,2078,2383,2376,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,443,563,653,781,913,799,959,996,883,1217,1377,1427,1319,1418,1277,1105,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,165,138,171,85,76,134,423,953,1249,2773,2810,2864,3623,4861,6613,8085,9064,9934,12918,13389,14860,15998,18813,19899,20800,21577,22411,22824,29230,29775,42776,42655,48817,47102,62799,66538,73398,74778,72473,73805,81113,82028,78537,74965,78096,86884,104635,107387,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,499,1844,1865,2481,4473,5438,4385,5837,5971,6041,6534,6821,5612,4501,3568,2616,3147,4302,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2442,2483,1480,754,936,1090,1233,1196,1119,1091,1322,1418,1335,1458,1565,1603,1624,1624,1537,1203,1321,1182,1256,1142,1023,917,1006,954,971,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907,1481,1733,1755,1908,1906,1723,1430,1284,1253,1493,1902,2331,3090,3306,4326,5064,5358,5559,5746,6336,6583,6887,6777,7764,7772,7959,8635,8575,9491,9144,8366,8942,8273,8459,7548,8340,7294,6451,6004,5383,4635,4066,3712,4245,..
France,4570,5941,6878,7296,7455,8351,9243,10459,12104,14390,14355,17726,21920,25688,27683,30752,34499,36032,38474,43709,44187,45648,44332,46609,48730,51111,52046,52925,51341,52903,53352,60903,61461,61868,61456,62816,69667,68867,70658,74617,77916,82676,83141,86880,88652,91508,89608,86340,89408,88606,94570,83194,86195,87211,72726,78284,85885,86410,82277,..
Gabon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,1,51,52,73,78,100,114,112,158,167,209,213,203,216,201,264,247,254,248,248,243,252,264,279,273,287,296,318,357,474,634,713,733,606,664,720,812,999,1007,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10697,9198,9151,7341,3609,2163,1820,1553,1587,1621,2238,1613,1140,1264,1532,1932,2463,2770,2179,2243,2083,2899,3392,3184,3750,4091,3885,4152,4047,..
Germany,1433,1688,2108,2663,3970,5392,5866,7796,14112,19832,27905,38421,50029,64828,80377,84145,89626,96042,103134,111851,111264,107326,99928,102132,102833,101094,103040,111637,111092,114166,115228,123743,122654,129077,135438,144948,162339,155003,156191,157692,155872,163006,162824,166211,166906,168708,172110,166053,172995,161124,176727,159870,161117,163682,147328,152190,166954,170187,171149,..
Ghana,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,832,1626,823,616,1309,2505,1104,2258,2957,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,100,84,44,92,93,87,100,97,104,90,85,99,94,107,303,1229,2511,3689,3791,4059,4465,4926,5216,6124,7492,7840,6265,6719,8204,7533,6797,5002,5397,7739,8840,8432,..
Guatemala,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Honduras,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Hong Kong (China),..,..,..,..,..,..,..,..,..,..,..,52,57,64,75,81,95,105,126,152,178,204,245,299,348,403,456,534,618,690,760,820,919,969,1047,1172,5104,7364,6985,7616,7074,7153,6866,4914,6499,6517,6787,6071,6857,6482,7959,6498,6039,5731,5523,6844,7001,6967,6757,..
Hungary,..,..,..,..,..,2290,2845,3721,4703,5565,5827,5961,6579,7965,8963,9671,11485,12621,13873,14845,16236,16795,17704,17631,18079,18023,19262,19291,19024,19831,19055,19460,16833,18222,18391,19824,22331,21472,21503,21889,21180,23585,24060,26392,25633,26638,25228,23714,23502,20324,21385,20252,17928,16977,15515,16556,17728,18731,18052,..
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
India,..,..,..,..,..,..,..,..,..,..,..,1023,1117,1143,1240,1307,1420,1543,1944,1836,1821,2433,3535,4149,5100,4977,7465,9000,8074,9636,14183,17439,18847,19997,21184,26009,27216,32714,36218,39594,40950,42765,46816,51827,52788,55569,55918,63968,52517,71602,74715,85235,70859,59544,59895,63271,71943,80897,83429,..
Indonesia,..,..,..,..,..,..,..,..,..,..,..,102,147,176,438,517,625,1133,2317,4110,5448,6109,6433,6971,8256,8696,10130,10679,11750,10468,24337,27564,29679,31437,41350,47355,48503,53200,60053,56353,45446,51573,54815,57888,54634,50901,66382,51331,56758,69269,71298,71582,73774,76210,78105,77849,75503,73479,82375,..
Islamic Republic of Iran,..,..,..,..,..,..,..,..,..,..,..,5515,6307,7539,8008,8096,9064,9299,7187,9622,8566,9328,12761,14579,16985,16897,16222,20446,21268,29071,33786,45891,49330,55086,68320,76256,75372,84785,92193,110436,118029,124244,141085,155795,176507,189660,208268,234026,246497,258480,274301,279373,279151,282388,319304,342525,365544,380336,382745,..
Iraq,..,..,..,..,..,..,..,..,..,..,..,1784,1804,2322,2283,3166,4048,3070,3262,4279,2458,1190,1305,902,1132,1631,1727,1919,4797,5468,3799,3338,4355,4892,6082,6082,6216,5852,5660,6101,6044,5295,4528,2993,1919,3492,4952,4517,6356,9065,9840,12550,12253,12159,12449,12807,14121,20516,25872,..
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,1724,2606,3884,3972,4184,4513,2202,2162,2764,3309,3311,3380,3358,4045,4027,4359,5146,5306,5429,5977,7105,7248,7661,8523,8449,8000,9097,9820,10240,9892,10816,9386,9128,8742,8420,8472,9694,9955,10335,..
Israel,..,..,..,..,..,..,..,..,..,..,..,33,23,0,1,1,1,1,1,1,2,2,1,1,1,7,6,6,6,6,5,4,4,0,1,8,10,11,8,11,7,7,15,17,2297,3161,4537,5447,6924,8463,10191,9472,4940,13613,15493,16366,18623,19946,18333,..
Italy,11959,12734,13265,13455,13888,13985,15256,16704,19805,21633,23364,24066,27836,31505,35388,41006,49792,50917,45218,46866,46350,45673,46401,47965,56184,57044,60721,68646,74794,81349,87073,92230,90749,94883,92037,101857,105572,108839,117642,127663,133154,133681,133103,146537,151650,162461,159203,160203,160828,147888,157379,148080,142213,132765,117261,127930,134235,142270,137632,..
Jamaica,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,166,191,..
Japan,1457,2161,2761,3825,4159,3998,4155,4429,4728,5761,7926,8576,8733,13654,17516,19282,22960,28183,38402,45342,51499,52744,53400,56994,76572,81886,83353,86038,90238,96483,111564,119544,120952,123855,130030,134692,140481,145204,149019,157960,162903,162312,166227,171638,170653,169461,186213,202337,198254,196130,206763,241050,250266,249544,251653,239646,244358,239013,228380,..
Jordan,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,239,231,251,296,493,510,496,524,531,507,517,503,443,1050,2802,3244,4695,5628,6335,7234,5362,1994,1588,2127,709,4518,7932,7847,7991,..
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24940,23744,34858,24618,18972,23609,18311,15690,15702,15704,15329,11471,15837,19504,22156,28649,34758,39477,47942,46376,53771,53332,53670,56770,28145,26658,29116,32529,32003,..
Kenya,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Korea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,4430,5741,5548,6401,7404,9684,12098,16105,19476,25729,31270,29252,35801,40120,43942,49084,51143,60294,64137,68559,73669,75332,72421,91220,98331,106539,110697,99826,93351,99039,102684,113967,..
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Kuwait,..,..,..,..,..,..,..,..,..,..,..,9974,10852,11643,11028,9930,10716,11462,12010,16525,13229,10234,7924,9183,9934,9711,12241,14447,19071,22563,11566,1599,9417,16685,17801,17801,17847,17786,18210,16669,18419,18227,16711,19186,20913,23599,23810,23139,24366,23751,27864,32603,34852,35478,35185,40097,42691,43422,43587,..
Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3569,3586,3592,2674,1704,1740,2075,1707,2004,1181,1348,1377,1746,1440,1573,1235,1302,1321,1261,501,466,562,671,561,470,505,548,565,601,..
