TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,8149,9089,9556,9667,10477,11601,12058,12062,12594,30834,33609,36043,37896,37843,38520,39126,27453,30573,29098,31572,33007,32156,34641,35244,36051,34671,34337,34000,33663,32739,32064,30549,30618,31247,30016,30223,30653,29352,29136,29637,28830,28404,28622,27138,26807,27400,26057,26890,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6838,6838,6838,6838,6838,6500,6696,6898,7107,7322,7520,7608,7645,7641,7623,7609,7599,7587,7571,7555,7541,7527,7517,7507,18719,23573,23694,19443,49886,49921
Botswana,..,..,..,..,..,..,..,..,..,..,..,6448,6674,6919,7174,7438,7703,7987,8271,8565,8879,15456,15984,16528,17088,17680,18288,17808,20624,21169,17617,18929,20241,21009,21425,21169,21041,21457,22721,22721,22721,22721,22257,21809,19082,19082,19474,19888,20323,20715,21076,21373,21638,21882,22158,22497,22911,23388,23908,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,1491025,1528433,1532297,1560344,1566185,1537119,1562143,1551374,1624060,1691421,1683907,1699572,1854987,2050627,2118975,2139005,2234973,2197939,2218530,1999813,1976612,1950031,1945098,2059167,1992874,1991787,2048892,2033856,2092632,1952158,2015696,2193076,2392183,2559597,2650172,2779558,3022411,3283914,3185813,3416612,3256630,3274188,3405865,3502181,3636726,3583914,3650767,3770233,3889804
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,664,634,604,574,544,514,484,454,424,394,364,334,304,274,244,214,184,154,124,94,64,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,11145,10598,10012,9944,9915,10530,9895,8996,8508,8225,16996,16957,16928,16869,17280,17084,8830,7941,7596,7221,5900,6809,6261,7010,8878,10048,10896,17400,18009,23367,22771,27084,29694,30915,31423,33532,31206,32446,31847,38342,41235,46779,49944,47602,51691,56119,56617,74032,75146
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97377,101974,103001,117262,115825,113833,112551,135990,138432,107086,104351,100799,96782,95242,150721,151533,158673,162786,167052,171700,176621,181976,186950,192546,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,98931,100865,103013,105385,107976,110971,114217,117596,121008,124323,127616,130871,134131,137397,140711,144174,147825,151676,155726,159987,164362,168863,173490,179700,184700,190007,193768,199071,204246,208740,213333,226551,232686,239029,245594,219538,174943,178592,185624,185482,190192,195460,200846,206350,259932,266949,274078,281330,..
Canada,169863,171205,170387,170575,168874,159188,165115,189989,224211,247976,314782,319250,318525,327225,323600,260525,264952,267834,289939,297738,320229,305104,301764,332959,333830,354957,371092,374940,373865,360516,455522,454318,457585,460778,524137,539994,512076,512414,543073,570589,579702,540008,591088,581052,626592,607674,582793,597781,562084,544783,554646,563717,570757,598361,610942,603116,549160,577709,572093,565255
Chile,..,..,..,..,..,..,..,..,..,..,..,58422,56782,55478,58423,59024,61984,64871,69501,71684,75098,75509,78008,86047,91699,93302,96997,101337,105131,105848,131193,144440,157925,147961,154526,164049,174229,173210,183986,189982,197662,197480,200193,190069,199871,202763,208174,218228,223754,231699,206416,248712,392001,433007,309033,305701,325404,339006,344495,284894
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,6458822,6619505,6772393,6913763,7036972,7146705,7244765,7342365,7440963,7534877,7621133,7708974,7787382,7836222,7894774,7983778,8072335,8163445,8279229,8392235,8473543,8521378,8565497,8584801,8573563,8563004,8578838,8483044,8449282,8297031,7963916,7860940,7591219,7261536,7050331,6967885,6492894,6036971,5817163,5581055,5302725,5030378,4782148,4806953,4758550,4717417,4824274,4885623,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,185183,159219,142485,138872,181261,181983,183844,190704,194695,198177,196135,202229,202083,207766,214468,216802,220735,227299,230182,231137,225248,224671,223761,233601,235225,227913,163342,162604,163243,143626,137184,144278,154209,134357,136389,151906,151395,156704,158662,175612,169540,177750,255767,261129,251175,244890,226260,207349,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,13093,13398,13721,14052,14401,14651,14919,15195,15487,15797,16106,16431,16772,17137,17536,17969,18415,18883,19365,19860,20367,20869,21359,21839,21839,22767,22982,23912,23912,19925,21261,22687,24210,25834,27567,39372,31390,33496,35743,38141,56341,59072,60552,62045,62782,64746,66827,68566,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,10351,11002,11201,11125,11471,11756,12274,12852,13275,13098,13395,13421,13963,15305,15057,15146,15326,15840,15538,16357,17013,14688,14787,15041,15629,15902,10912,7560,7583,10385,10140,11123,12556,20913,26759,30675,32197,30543,29584,29816,26551,26558,28020,27556,26605,25920,24712,23723,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,68142,70531,73019,75556,78154,80970,83886,86900,90025,93270,96623,100083,103683,107423,111312,115304,119388,123586,128229,133005,137693,142291,146768,151100,155000,159960,164599,167853,172217,176867,177344,181068,184689,291104,300370,309527,319229,318331,297531,244539,290563,299592,293485,301178,261776,268123,264415,261984,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36173,50149,43791,46316,41811,44191,51798,48468,48596,46976,41974,45975,44034,50828,49964,52398,48726,47294,47402,49763,52889,52151,54324,53976,48463,55565,54839,55184,57830,62379
Cuba,..,..,..,..,..,..,..,..,..,..,..,159974,144812,149491,154031,157012,156602,169338,186836,190206,179601,188825,193859,190576,198082,190700,195964,198064,218075,251404,278941,244060,237840,169138,168912,141385,163765,158207,135239,146538,154889,157456,132526,119027,115671,84523,69998,63338,58406,60282,51889,59850,62473,59773,69259,71028,55459,69630,80214,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,382,382,382,172,262,332,332,342,352,262,252,252,242,277,282,282,272,252,252,257,232,230,229,582,571,556,481,501,461,429,483,522,625,628,654,594,1096,1847,2275,2167,2146,2199,2083,2207,2885,3159,3999,4416,4207
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44124,44557,65740,64835,62461,54143,54163,61340,64352,67288,64914,70131,77262,76554,83258,85840,89966,96841,105001,116894,125615,136421,146375,159097,168415,173339,175762,179236,181181,186534
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,28523,29304,30281,31326,32137,32977,33817,34676,35556,36034,36503,36991,37490,37998,38515,38359,38740,39140,39551,39971,40410,40860,41273,41731,42190,42639,41058,41435,41799,42077,42287,42663,43032,43381,43700,43988,44249,44472,44688,44909,45136,45370,45604,45840,46070,46297,46520,46740,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,233072,239464,246090,253007,260249,267905,275930,284325,293112,302312,311670,321665,332231,343279,354740,366661,379096,391957,405176,418675,432476,446590,461018,476000,491000,506712,522927,539786,546660,553553,574878,594931,615684,637194,659457,682508,705685,729687,754492,780137,822467,1029308,1065951,1102612,1141204,1181137,1179530,1195353,..
Denmark,0,0,0,0,0,0,0,0,0,0,13300,13700,14840,14840,14840,15621,16584,16631,18154,22089,26939,32043,34408,36020,37821,38964,41948,47388,47379,47581,47723,51747,54351,56872,56678,60058,63998,66564,66128,69889,73141,80225,84769,96904,104168,111416,115459,125409,128836,130772,152320,148639,152632,154273,155659,166317,176742,195779,197262,208749
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,48823,50098,48659,50320,51073,53021,53141,54105,55574,53554,60219,69488,63319,67064,41736,40924,40427,32906,31992,38238,38453,37864,30325,32314,30811,29835,30261,33234,33138,35293,34745,35709,34737,35769,34857,34788,35363,34830,34132,34766,33999,34714,33999,34964,33474,35256,38193,38834,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,46135,45974,43834,43440,43014,42199,41622,40292,40482,41086,39748,44225,44142,45940,44434,42301,45271,46527,45104,39801,41211,33394,32508,31555,33705,34674,27749,32168,30108,28978,27788,26731,26004,27566,31116,25069,29491,24182,20086,20038,20954,20830,20140,22945,22621,23090,24470,22714,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,60864,61863,62478,63354,63396,62830,62694,63423,64160,64543,65978,66413,67324,68514,69646,71474,73358,74933,76633,78394,80071,83865,85257,85985,86657,86819,87667,88672,89400,90561,91402,92253,93051,93796,94458,95384,95947,95931,96721,97364,98104,98140,97010,96871,96798,97362,97503,97648,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,50670,52605,53985,56285,58337,59725,62026,63683,65080,58967,59278,60462,62573,63801,64683,51260,55594,48573,48279,49855,52057,54032,53463,53572,53791,54080,54915,55693,56117,23948,25017,26305,27768,29353,31081,33378,25758,27083,29517,29612,26020,28965,23733,17667,18689,19985,23249,22199,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,612,613,533,540,546,641,648,654,661,931,938,1120,1127,1124,1298,1295,1294,1469,1468,1466,1465,1464,1639,1638,1637,1639,1468,1466,1465,2046,1022,2656,2654,2914,2912,2910,2906,3168,3164,3162,3162,3332,2536,2534,2530,2704,2809,2913,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29628,29628,29628,30586,31635,32628,20167,20771,21261,22244,22922,23601,20168,20925,21544,22183,22840,23507,24321,24660,24976,25220,25446,25689,25949,26231,26535,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7865,7831,9058,8599,12548,14071,25426,25240,21217,21756,21454,22606,22925,24107,24964,24369,21901,24786,26600,29232,34792,33767,34576,38191,36815,38177,41477,44854,48016,49846
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,432236,445418,458659,470836,481270,489560,496195,502343,509658,519322,531780,546705,563670,581861,600748,620166,640309,661412,683800,707680,733128,759934,787598,815454,843044,870177,896969,923732,950849,978661,1007241,1036546,1066530,1097105,1128227,1159896,1192186,1226395,1261677,1297947,1335313,1371858,1408689,1448649,1482483,1519323,1555523,1596930,..
Finland,201410,200242,196562,194575,194557,193301,190546,184354,179329,178404,174967,169524,166086,165053,161528,132847,132863,129474,135454,143001,145436,150241,142585,156857,168386,155995,156965,166504,165099,178434,191068,175386,171165,188398,200482,210177,221970,245767,256216,263298,274175,269070,290927,297765,313152,292725,325886,314825,325059,296453,349707,342327,363453,374665,389046,380325,388231,411950,424237,429733
France,0,0,0,0,0,0,0,0,0,0,392169,394467,399199,409827,370169,384252,368412,374191,385883,397802,361884,349269,356829,394957,402746,452195,440939,463360,433224,448191,460033,529175,515756,498738,456501,471782,506582,470864,471533,459169,450761,459066,445009,470358,481627,503352,466008,511330,571928,597876,655986,588247,651537,695226,652598,690488,738613,732092,743080,756475
Gabon,..,..,..,..,..,..,..,..,..,..,..,20368,20798,21263,21761,22292,22809,23284,23755,24259,24758,25292,25857,26416,27006,27624,28147,28666,29214,29792,31097,32244,33216,33984,34000,35000,35525,36022,36891,37739,38720,39688,54071,68458,82848,97244,111643,126049,140461,154880,169309,123148,101242,167681,156641,159340,158651,157271,155202,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19190,18054,28210,43255,12149,28210,40020,32810,29415,28215,27014,27017,27017,27017,27017,14615,15620,16499,15828,15997,15034,13191,12843,20143,19470,16672,16177,15211,11331,11321
Germany,0,0,0,0,0,0,0,0,0,0,106226,106343,113038,104761,140788,139967,142700,144535,146844,150342,182237,192433,207926,201672,217104,218024,178124,168495,187563,178888,200851,200479,208633,212554,217215,224205,236160,292473,320692,300295,329742,371786,390272,481275,541946,666089,831087,950868,1012342,1028934,1171020,1155787,1279288,1301522,1269087,1277310,1277920,1290442,1261138,1279229
Ghana,..,..,..,..,..,..,..,..,..,..,..,87400,91600,96000,101024,104001,107101,110333,113302,116178,119402,122178,125300,128616,133100,138000,143100,148500,154000,159800,163300,172200,178700,185600,192800,198000,202752,207415,212893,217577,162817,155029,148132,142113,137048,132871,129782,128328,128447,130786,134252,141110,142658,148776,151908,151478,150733,163423,162506,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Greece,0,0,0,0,0,0,0,0,0,0,18840,18840,18840,18840,18840,18840,18840,18840,18840,18840,18840,18840,18840,18840,18840,18840,18840,20934,20934,19381,37403,37558,39488,38915,39602,39146,39707,39908,39994,40845,42261,42239,43254,40789,41327,42485,42574,49423,43945,41300,45033,53876,59068,51035,51435,58539,51388,49391,50185,52836
Guatemala,..,..,..,..,..,..,..,..,..,..,..,80042,82232,84643,86932,101346,107354,109589,110255,111907,98495,102009,105922,103973,106300,108386,111161,114994,117092,121852,127064,129460,133320,131140,129664,134248,135996,141636,142862,162980,162911,166260,207911,213440,222123,223146,223730,236843,238139,250401,268688,273332,289477,295240,304004,307003,331123,337539,340876,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,69635,71269,72285,73960,75607,77228,78824,80834,83310,84882,78817,79826,81051,81358,81814,76743,77396,78041,78559,86156,87499,88298,90008,91562,93508,95367,97822,99535,101104,102762,104413,105409,107140,110506,113873,117427,121022,122905,126870,130089,134603,139195,139258,135509,138635,140628,142268,144379,..
Honduras,..,..,..,..,..,..,..,..,..,..,..,41515,42404,43054,44202,45057,46001,47317,48361,49506,52235,52874,54231,55179,55674,56770,56744,59093,60116,61125,62732,62939,63083,63233,63383,63532,63744,72204,72473,57765,56071,56229,59434,63145,66856,72916,77084,82558,82466,84705,88059,90839,97234,93797,94446,104287,108928,80467,92754,..
Hong Kong (China),..,..,..,..,..,..,..,..,..,..,..,1482,1312,1289,1233,1002,1178,1229,1247,1270,1283,1237,1289,1340,1273,1167,1166,1100,982,1107,938,998,929,986,862,808,764,662,548,554,362,54,485,490,482,430,947,2620,3028,3035,2978,3892,3039,3106,3205,4312,4703,4787,4659,..
Hungary,..,..,..,..,..,26801,23818,24229,20543,27605,20614,22695,23011,26791,26075,19481,22649,21124,19676,22877,21583,23692,22916,22929,28679,25467,21972,22311,19153,20638,27487,29860,30238,31126,31390,33265,32769,32007,32076,32294,31737,33322,33353,34417,36464,68886,69976,77094,80616,103296,113009,117346,118946,125227,116140,123244,122668,120246,113097,109880
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,56,56,70,70,98,112,96,263,169,59,58,48,73,597,586,1091,1203,1524,1705,1825
India,..,..,..,..,..,..,..,..,..,..,..,4010855,4102932,4196640,4292733,4391639,4493102,4596918,4702920,4810874,4876868,4943766,5011583,5080330,5150019,5220666,5292281,5364879,5438472,5513074,5588702,5665364,5743080,5774315,5805569,5862787,5918729,5979377,6039886,6143640,6232144,6348934,6469946,6597994,6720516,6669946,6441884,6755738,7078503,7407928,7754138,8107128,7986683,7847044,7691061,7523070,7848801,7771960,7749969,..
Indonesia,..,..,..,..,..,..,..,..,..,..,..,1102767,1114756,1127072,1130593,1156252,1176395,1199478,1224732,1246230,1267069,1293306,1319898,1344938,1368976,1390987,1411415,1433833,1461315,1485032,1822222,1858800,1891206,1923616,1951656,1973140,1986912,2021623,2034843,2042096,2093409,2089850,2095567,2103733,2103257,2092838,2134847,2141098,2143676,2035630,1927633,1840422,1756642,1696808,1656514,1557589,1553330,1498966,1404242,1434772
Islamic Republic of Iran,..,..,..,..,..,..,..,..,..,..,..,6151,5649,6151,6653,6917,6693,6967,6231,5749,5769,7057,7077,7751,8416,9705,9745,8151,10438,8321,9118,9403,10437,11284,12015,11165,11386,10271,8261,7272,6408,5954,4526,4110,3992,24462,24290,25600,25957,25981,26020,21252,21383,21368,21732,21365,21484,21562,21394,..
Iraq,..,..,..,..,..,..,..,..,..,..,..,839,769,875,831,859,859,982,982,825,764,733,791,791,791,850,850,908,908,908,967,967,1026,1026,1050,1100,1141,1184,1222,1258,1294,1329,1364,1399,1434,1469,1504,1539,1575,1615,1655,1698,1745,1794,1844,1892,1938,1982,1977,..
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4511,4333,3838,3910,3906,3844,4402,4941,5775,5556,5908,6437,6237,6044,7163,9036,9245,10502,11774,14185,15499,14024,16770,18816,21363,20734,23846,29724,31470,31049
Israel,..,..,..,..,..,..,..,..,..,..,..,156,156,127,107,117,107,107,107,107,107,107,107,107,107,107,107,107,107,68,127,127,158,189,127,250,250,306,337,337,305,356,293,379,453,499,520,694,959,1319,1378,1500,1516,1093,1493,1421,1657,1822,1741,1741
Italy,0,0,0,0,0,0,0,0,0,0,12715,9110,10350,10207,50878,46465,43639,38958,34315,36153,38376,41357,39348,40378,42350,36814,45398,42508,44375,42033,39395,45091,50628,48040,57104,60977,60852,70305,78435,91050,94266,100565,143375,221037,205621,278658,320402,399676,478098,506271,529698,472675,566440,613336,586085,611017,601232,622203,607678,617895
