TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cyprus,..,..,..,..,..,..,..,..,..,..,..,8538,9418,10467,7725,6306,6646,7257,8035,8384,8678,8634,9113,9936,10674,11223,11877,12893,13524,14528,16118,16085,18048,18299,19039,20193,20879,21780,22808,23416,23974,24759,24559,26041,27488,28072,27972,29881,31062,31156,31804,30940,28621,25826,24953,25854,27192,28062,28219,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,80569,84501,90805,86044,96285,103046,108111,106155,108349,96113,107578,91443,92900,98155,96620,95861,97489,99058,105554,108493,94920,121584,121729,129399,112001,151610,155957,159829,174725,177268,187788,196106,221444,228562,244759,249428,263251,264307,258966,245956,246834,240841,238725,247208,257539,267121,275171,276943,..
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,24828,26200,28021,34882,39272,37510,40289,57557,68291,77202,73942,70115,69897,57175,63814,49794,53538,56581,64284,65307,58047,47174,43255,29040,35201,28389,15709,29374,12302,23585,21796,21841,21314,21490,18107,13843,16569,16964,18292,18425,18555,18293,20052,18643,19558,20081,19431,19365,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,6003,6362,7123,7750,8154,7616,6675,7526,8826,8646,8512,7168,8512,8602,7840,7885,8154,8288,8288,8122,6869,6290,6336,6476,6480,6524,6438,6524,6255,10996,9020,9627,11432,12446,15431,16616,18552,21029,21038,22985,29431,29250,45812,62385,36870,26295,29699,28748,..
Denmark,46193,50661,53560,58619,63759,72552,80211,81492,89245,98359,102870,105411,108614,113188,111694,122015,125113,128086,131581,131271,126743,123087,124178,123212,130803,150869,156644,154142,154268,158399,144354,152495,152169,156066,162331,164085,165832,167793,168797,169437,169167,169510,172017,178382,183883,187164,189612,197623,194343,184688,182935,183216,170793,168289,169595,175670,179379,182595,185139,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,20041,21138,22291,23778,24866,25722,26152,25299,27303,25212,21378,20872,24722,27877,28098,29900,37456,32630,44014,32514,32158,34566,37644,44491,49657,54834,62874,69741,74207,75977,76100,81583,75190,77671,82093,83420,84941,77825,80833,82474,87153,94305,83366,73149,88271,95382,93787,103080,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,25980,25834,29172,31467,37338,41453,50614,58754,48823,56151,63974,66063,67198,75013,79543,82155,79219,96191,93398,108582,111446,112920,113321,120077,114379,138894,146935,137941,125011,111457,118227,122870,127289,131668,137651,141759,138898,138151,145487,176615,191069,197704,210779,226492,236234,238903,254383,258310,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,55577,64045,62394,71490,64381,73169,83626,87755,94330,114478,126826,126460,143069,159503,170889,171388,179862,193968,207816,224572,234493,243166,252531,276627,293153,310306,330094,366294,389347,400845,387869,399909,422269,432886,426456,464024,514021,544363,581820,623501,651600,710938,716736,747463,767549,801008,777717,753638,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,7925,8890,9375,9635,10611,12102,13198,14868,15078,11935,11223,11662,11801,12238,13331,13155,14648,15746,16490,17569,19138,22186,24256,25846,29395,29150,29688,31904,36219,35062,35286,34218,37341,39521,42527,40865,43772,41054,42535,41914,43352,38187,38787,39115,46079,48174,47267,48817,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,179,179,179,179,224,179,179,224,179,134,179,179,90,134,45,90,179,179,179,266,311,311,220,221,264,524,1263,1092,1613,4960,2916,8003,9225,9487,10507,11379,11901,12077,12209,12340,12381,12646,13475,13738,13911,14087,13450,12656,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1597,2906,3955,4521,5262,4964,3191,2932,2840,3455,3718,3802,3447,2487,1924,1708,1573,1619,1970,2149,2328,2417,2462,2507,2552,3083,3212,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34421,31483,16333,16745,19956,19937,21802,22353,23550,23454,23372,27808,29310,28235,28685,30171,32402,34143,33332,29987,32002,31735,32095,31278,31485,32119,32790,33811,34982,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,7605,7204,7997,8402,7284,7594,8030,9078,9804,8814,9248,8817,8951,8429,9011,10539,11939,12417,12807,12776,12864,10045,12107,13515,15138,16749,17697,19395,20005,21924,27394,28616,29774,32096,29019,30876,33515,34678,36336,37128,39263,44539,52076,58033,64674,78581,88226,94244,..
Finland,38119,42741,45459,47709,55223,59707,67205,69865,71246,77487,85496,88412,93576,100986,98414,106028,107167,107942,109484,117897,117107,118726,121521,124412,128085,133919,142097,152150,154412,163001,165392,161145,160562,157155,163438,160546,156752,165262,167451,171634,165563,167681,170343,173324,177970,178117,180638,185340,179484,174074,180882,180956,176609,175659,171783,171543,174562,175502,177438,..
France,487643,515046,524163,568457,598915,626027,650210,676798,722521,766214,804521,873837,951575,1034372,1025676,1057674,1152280,1163210,1240528,1246652,1269013,1290625,1300095,1312101,1334619,1331165,1393829,1438671,1522778,1558839,1611340,1656080,1689906,1704195,1718334,1730828,1732658,1769331,1829224,1835436,1877061,1900227,1898661,1877719,1881120,1857744,1865749,1882738,1837075,1823097,1824108,1901413,1894989,1879832,1890835,1909608,1915482,1932174,1897055,..
Gabon,..,..,..,..,..,..,..,..,..,..,..,0,0,538,538,627,1105,5911,7510,3518,3336,6092,6462,5831,3340,4474,6468,4330,4730,5704,4477,5428,5074,5419,4347,4737,4783,5268,5624,5367,4440,5021,5455,4889,5192,5107,5153,5891,6074,5680,8870,10094,10435,11751,11537,11234,11760,2926,2957,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56000,42248,34421,29412,23090,15615,36901,29148,18765,17370,15001,17639,18520,18962,18408,22864,23546,30217,25895,31470,33631,33870,36010,46512,52213,57164,63821,57962,56636,..
Germany,672275,712517,764733,814158,856861,874032,923760,915996,960534,1021047,1322986,1407566,1468786,1512590,1456985,1517268,1542008,1627320,1761702,1817274,1850542,1793634,1797414,1826906,1879946,1884252,1968493,2039357,2110446,2158521,2279941,2324468,2358021,2421052,2383157,2412742,2430479,2443081,2481471,2547296,2491573,2441450,2413712,2373494,2379658,2299497,2328663,2273572,2238428,2200436,2225242,2245552,2228851,2269612,2301794,2331213,2380092,2415891,2350497,..
Ghana,..,..,..,..,..,..,..,..,..,..,..,14594,14624,15475,16008,17236,17946,19128,19178,16172,17765,20789,18895,14056,13854,17738,19024,19378,20410,23045,22739,21098,25160,25336,26306,28633,31229,32600,38813,43155,41038,41055,47384,43832,50856,50151,50676,53387,57679,70250,71602,79678,95247,100832,101512,110051,101704,98767,112405,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,474,345,346,345,346,302,302,260,474,559,602,645,474,432,518,858,1034,1210,1039,1167,1849,2280,2280,2834,2749,2791,2921,3092,3222,3351,3480,3523,3565,3995,4081,4252,4167,4167,4640,4683,4511,4596,4897,5327,5756,6229,6772,7342,..
Greece,31311,36322,37535,39242,36147,38004,41426,44167,45724,49814,62675,68194,79235,86561,71218,72333,101690,111183,119429,124781,133472,135216,138192,150829,158308,163573,167067,172666,188092,198954,210986,222235,227989,231129,232383,234223,241192,249182,271363,273851,267860,277300,281411,294652,300318,306019,314828,325077,315085,349857,313183,280864,235227,234828,235947,240883,246898,243476,246904,..
Guatemala,..,..,..,..,..,..,..,..,..,..,..,9645,11633,13435,14536,16329,13908,16902,17983,18999,19009,17628,16438,15840,17202,17810,17095,19905,21658,22258,23937,24880,26106,28694,30462,38066,37988,40275,47970,50416,54053,62919,68402,68142,66376,71315,73837,78148,71623,81501,80397,78630,78993,83013,88702,101773,110616,114327,119468,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,2029,2204,2467,2470,2819,3521,3700,4056,4362,4229,4269,4179,4135,4223,4221,4441,4751,5189,5674,5936,5540,5667,5270,1583,6985,7824,8051,8886,9185,9848,10803,11375,11027,10714,10793,10787,13098,12695,13025,14905,15263,13438,12526,16245,19543,19807,20083,20381,..
