TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,2069,2238,2357,2563,2961,3199,3362,3634,3583,3690,3795,3638,3575,3436,3323,3141,3345,3274,3438,3733,3678,3675,3858,4037,4585,4500,4377,4552,4529,4702,4597,4705,5000,5384,5511,6088,6502,6861,7081,7498,8018,8451,9173,9784,10045,10370,11000,11403,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5365,4865,1625,1390,1477,1518,1564,1611,2006,1973,3203,3357,3127,3016,3318,3201,3360,3592,4171,4487,4464,4518,4092,4119,4192,4381,4924,4961,4772,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,82,98,132,290,305,198,151,218,284,309,477,465,459,465,461,562,605,746,856,988,951,1267,1241,1046,1154,1179,1287,1403,1588,1710,1850,1951,2035,1964,2004,2165,2344,2614,2427,2568,2710,2838,3047,3109,3187,3198,3283,3429,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,80928,88169,105370,114679,121664,134277,135726,146343,154623,151136,137608,134917,125442,120720,126109,141569,144199,146798,149680,150975,153416,158517,164241,172224,187473,202991,216449,224559,228311,229562,231902,226677,218267,226429,227897,230089,241955,251319,246684,266590,283788,304288,317512,330491,306815,290765,292782,274012,..
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,169,148,156,185,185,232,215,231,284,489,434,516,579,549,605,598,629,683,708,737,790,908,992,1052,1124,1274,1382,1260,1234,1192,1187,1268,1311,1296,1291,1456,1562,1725,1745,1722,1870,1993,1913,1890,1918,1903,1932,1965,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,29212,30500,31951,33285,35098,36059,37332,38407,39672,38758,33876,32615,31128,28579,28042,29450,28134,29908,28984,25801,17014,14809,14947,14288,13319,13528,10921,11750,11450,10056,10342,10615,11306,11267,11844,12321,12007,11384,11216,10869,10029,10498,9605,10433,11460,11852,12158,12246,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1471,1530,1641,1882,1907,1963,2153,2211,2378,2378,2639,2945,3571,3650,4339,4571,4787,4990,4964,5127,5654,6560,6714,7326,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,734,770,798,795,1019,930,1333,1430,1542,1668,1755,1878,2044,2141,2378,2297,2279,2493,2725,2644,2433,2274,2417,2550,2459,2443,2569,2684,2402,2788,2707,2896,2983,3014,2936,3106,3554,3685,4326,4563,4506,4519,4755,5130,4987,5061,4808,4748,..
Canada,114032,116163,123688,131385,140163,151531,158794,170257,182210,189650,203782,208104,220528,232645,240544,230286,234585,237346,241498,246487,243583,226889,202692,190244,189073,184407,185258,190175,201042,211363,193651,183299,186763,186667,191333,193834,198962,206733,211517,213328,214394,216101,229414,242081,245802,259880,254512,265921,256999,252943,261277,261493,264563,266770,262674,266772,265224,271187,277485,..
Chile,..,..,..,..,..,..,..,..,..,..,..,14570,15055,14431,14185,12394,12957,13521,14311,14962,15136,15042,13780,13655,13483,13059,13639,14150,15781,17699,18707,19317,21016,23066,24548,27166,29536,31477,31675,32672,30268,29003,29803,29663,31810,33614,33770,44961,47053,44558,42337,43653,43581,44646,43542,45053,47278,47509,48373,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,113407,131287,151335,173160,193582,229084,245049,268079,262186,234302,221237,216201,221030,226245,225094,241939,253548,271974,278866,278226,300167,324868,375576,363768,400527,411826,445452,457349,498573,531285,544287,573642,635373,753560,768236,816349,846942,858017,863886,1009344,1027946,1097086,1154188,1162573,1253714,1288043,1327427,1363893,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,17961,18120,18929,19680,18382,19248,19810,19370,19330,20230,19972,20314,21246,21451,21951,21767,23047,24348,25284,26027,27086,28689,29373,30380,32128,33456,35050,34215,30640,29206,28905,27513,27414,28806,28121,28917,29594,29607,28198,30224,34081,35820,36952,37626,38602,40652,37631,39166,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,569,601,595,598,602,739,633,679,653,692,724,800,805,728,760,687,722,674,661,639,683,613,594,388,537,423,319,327,374,498,635,504,719,742,799,976,1055,1322,1462,1635,1804,1810,2104,2177,2157,1824,1633,1634,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,1271,1422,1627,1574,1736,1799,2278,2442,2429,2156,2015,1682,1727,1843,1946,2054,2201,2307,2628,2604,2760,3847,3811,4447,4439,4171,4092,4552,4565,4497,4791,5017,5239,5318,5448,5983,6618,6679,6358,6601,6861,6893,7192,7226,6915,7458,7537,7633,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,2402,2653,2711,2809,3038,3484,3415,3983,3654,3391,2987,2963,3739,3337,3047,3077,3049,3061,2928,2705,2791,2772,2957,3094,3165,2996,3345,3053,3713,3354,3260,3339,2474,2789,2874,2740,2586,3243,3085,3104,2916,4535,4611,5079,5560,5760,5948,6080,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12752,9388,8965,9375,9330,10619,10167,11226,12660,12580,11030,11395,11894,13098,12084,12613,12888,13208,12307,12242,10397,10320,9622,8966,8932,9349,9262,9910,9427,..
