TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,965438,988405,1084689,1183643,1186454,1234643,1217197,1276793,1445772,1565809,1671730,1660522,1819104,1925534,1889357,1771889,1900146,1889025,1988458,2052165,1958066,1822585,1736558,1715057,1788872,1846551,1913429,1953973,1977906,1996791,2004922,2095365,2120642,2068009,2196347,2233155,2350558,2358859,2401026,2402318,2430548,2414457,2335093,2436916,2444928,2431557,2402073,2355320,2427284,2328263,2504572,2343561,2239861,2335409,2202997,2197284,2327674,2314733,2227345,2311985
Benin,..,..,..,..,..,..,..,..,..,..,..,46271,48466,49510,50591,52074,50492,52280,54331,55257,56638,56543,58498,60135,61609,64599,65213,66117,67826,68220,69568,70630,72373,74074,75685,77345,90064,93442,92174,96151,83022,88292,94712,99889,104285,104653,123484,134256,137238,143990,149209,149137,150721,164432,169619,180506,200333,207836,219458,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,42734,47237,49961,53507,61996,67907,72620,78722,86680,102354,107443,112972,107168,106874,105520,99749,92415,96569,102871,109313,112687,119358,127606,140463,157630,175146,191674,192681,189911,160900,158207,157774,182297,186418,201640,210414,229288,240139,249473,269169,291679,303556,322743,345583,353769,373675,386143,392852,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,293817,264468,186270,155183,60084,62559,73071,112810,140208,138745,181969,175851,184481,184179,201352,211016,221905,222075,249601,260315,271361,299172,279848,270217,251114,258565,282825,282291,312673,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,7012,7599,8387,9120,10452,14371,16566,17797,19962,21471,31603,33122,33436,34121,36042,39477,39258,46200,49371,51011,51954,59871,60051,59173,60601,59123,62033,70025,72312,75170,76051,77252,77003,75724,78145,80825,83595,88503,82557,90289,86615,98063,103556,113260,113126,108959,116182,118968,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,2922029,3131938,3432750,3653216,3814338,4003841,4137885,4403119,4681726,4767924,4573985,4650821,4767321,5074386,5418603,5672444,5893084,5972608,6093110,5874171,5985086,6047724,6199308,6526214,6749743,7109054,7470225,7649618,7823663,7857208,7996633,8210752,8345950,8812733,9035417,9349741,9879362,10432231,10087235,11159141,11310154,11754465,12283832,12665939,12409784,11958058,12180539,12017211,12198680
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,7423,7347,14425,24869,31005,40882,44198,41309,42974,56523,54422,58509,61799,71208,74637,65549,67252,55905,64914,72321,81779,87932,84648,78540,94102,94727,97832,97417,99328,99857,92454,90345,104900,96182,92881,131979,135149,148358,127425,135698,162188,160394,127398,148833,113789,125457,151200,154753,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,796540,812497,858413,888266,954550,983105,1045988,1095059,1137507,1143549,1119187,1156993,1171393,1177733,1187013,1206122,1190381,1194581,1167226,1171438,935880,856246,918210,890194,966146,961297,870689,842487,766746,778844,811337,790763,810433,788464,832921,856341,842053,830692,728641,742561,799541,763979,708004,745067,774331,755141,779420,774387,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,118784,124237,126249,143721,143900,142891,143635,167266,172306,141926,143746,143438,145348,144222,212949,223238,232056,242473,250382,266518,294605,317745,338654,343503,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,112860,115361,117907,121142,127115,128998,138044,142597,147967,153070,160686,168071,174033,179692,186661,189428,192964,199096,206439,208567,210591,212882,220253,227896,231878,237606,244370,251415,253366,264211,267330,281270,292785,302140,304464,281520,265466,267789,289516,291726,295536,299133,287155,319705,381776,385464,392977,404327,..
