,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Benin,..,..,..,..,..,..,..,..,..,..,..,4046,4126,4206,4291,4379,4472,4564,4665,4774,4888,5006,5130,5260,5398,5540,5689,5838,5994,6154,6311,6470,6624,6783,6939,7069,7779,7718,7528,7201,5473,5633,5803,5936,6103,6277,6947,7156,7352,7547,6594,6761,6969,7807,8019,8261,8548,8730,9060,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,893,997,1048,1061,1153,1272,1308,1297,1363,3330,3723,3933,4181,4199,4287,4364,3055,3388,3209,3463,3634,3537,3792,3852,3930,3782,3738,3695,3651,3492,3393,3231,3199,3238,3076,3091,3132,2970,2938,2978,2817,2785,2825,2667,2638,2688,2537,2621,0
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,766,766,766,766,766,728,750,773,796,820,842,852,856,856,854,852,851,850,848,846,845,843,842,841,1876,2413,2413,1977,5434,0
Botswana,..,..,..,..,..,..,..,..,..,..,..,722,747,775,803,833,863,895,926,959,994,1731,1790,1851,1914,1980,2048,1994,2310,2371,1973,2120,2267,2353,2400,2371,2357,2403,2357,2545,2403,2545,2493,2443,2137,2137,2181,2227,2276,2320,2361,2394,2423,2451,2482,2520,2566,2619,2678,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,156588,159038,158825,158985,156614,155079,157169,154760,159107,163954,164443,165061,178684,193795,198665,196839,208305,201482,199126,182718,183618,183101,181001,192761,187048,190118,197718,198028,203462,187623,196673,214382,233540,247562,256797,272589,295473,319222,315773,339196,320624,324829,337811,346371,358100,356522,362464,370358,0
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,74,71,68,64,61,58,54,51,47,44,41,37,34,31,27,24,21,17,14,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,1248,1187,1121,1114,1110,1179,1108,1008,953,921,1904,1899,1896,1889,1935,1913,989,889,851,809,661,734,662,755,946,1029,1098,1916,1976,2565,2532,2998,3197,3325,3243,3468,3174,3566,3503,4216,4518,5045,5229,5050,5395,5691,5765,7491,0
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9815,10260,10326,11579,11420,11196,11054,13423,13623,10486,10197,9847,9480,9321,14567,14582,15179,15606,16041,16516,17025,17582,18096,18680,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,10568,10774,11004,11260,11536,11854,12202,12565,12927,13282,13632,13981,14331,14678,15033,15404,15791,16203,16636,17091,17558,18041,18535,19198,19758,20324,20718,21283,21835,22315,22806,24254,24908,25577,26270,23280,18878,19272,20037,20009,20516,21084,21664,22259,24522,25184,25858,26543,..
Canada,19025,19175,19083,19104,18914,17829,18493,21279,25112,27773,35256,35756,35675,36649,36243,29179,29675,29997,32473,33347,35866,34172,33798,37291,37389,39747,41554,41985,41865,40370,50645,50571,50908,51125,57995,59810,56673,56537,59672,62721,63662,59234,64763,63646,68689,66738,63955,64345,60122,57967,58485,58632,59224,61943,63233,62502,56549,58981,57956,0
Chile,..,..,..,..,..,..,..,..,..,..,..,6543,6360,6214,6543,6611,6942,7266,7784,8029,8411,8457,8733,9614,10234,10413,10836,11319,11736,11810,13326,14801,16312,15186,15892,16930,18090,18008,19274,19950,20809,20798,21117,19985,21084,21411,22017,23148,23761,24630,21795,26526,42592,47175,34797,34039,36896,38745,39836,0
