,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Memo: Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6206,6333,6464,6594,6725,6866,7004,7151,7294,8992,9315,9482,9821,10168,10528,10906,11288,11699,12092,..
Memo: Palestinian Authority,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,166,498,699,755,733,459,444,471,489,676,661,621,642,731,718,679,451,442,..
Memo: Uganda,..,..,..,..,..,..,..,..,..,..,..,10232,10232,10142,10338,10426,10704,10845,11169,11362,11729,11919,12316,12545,12971,13225,13643,13973,14535,14881,15380,15795,16335,16736,17290,17735,18414,18883,19366,19806,20487,20993,21762,22324,23113,23592,24355,24892,25969,26713,27587,28135,29203,30165,31482,32130,33441,34314,35552,..
Memo: Africa (UN),..,..,..,..,..,..,..,..,..,..,..,480249,491435,501592,512337,526627,536535,548104,560212,572390,586647,599814,615327,630270,648238,664490,682504,700681,719197,738599,780470,798734,812472,824501,867820,895484,915129,930712,957044,984774,989587,1005874,1028460,1056276,1092876,1120485,1147486,1160049,1193978,1223691,1248529,1283271,1306020,1345847,1364674,1390915,1413812,1439323,1460006,..
Memo: Americas (UN),..,..,..,..,..,..,..,..,..,..,..,505284,511962,516122,519879,511716,537390,557707,586500,607571,623992,626510,635284,670946,724370,724111,729481,776101,765527,749063,701484,709187,738278,694913,718815,728663,740787,733657,749835,746469,734561,703734,723333,761836,800815,823033,837349,869020,902065,887070,941887,936692,973084,1033382,1046715,1039069,1034888,1045993,1084086,..
Memo: Asia (UN),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2168993,2193428,2218725,2229285,2231656,2256484,2271596,2290274,2289521,2308152,2311940,2284710,2300393,2296924,2278366,2258385,2235054,2223987,2211048,2215857,2215465,2204369,2160948,2125128,2119744,2089748,2141567,2139001,2113640,..
Memo: Europe (UN),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,279024,284533,282507,297297,281927,287338,300264,307406,307926,314540,318959,321277,331604,367198,380782,417485,443984,479519,512454,530136,582074,564053,609982,622100,606587,628650,642715,657387,667724,..
Memo: Oceania (UN),..,..,..,..,..,..,..,..,..,..,..,21204,21639,21280,23984,24268,24539,24876,24862,24522,25191,26386,26994,26826,26529,27013,24543,24918,25134,25975,27827,27805,25803,29043,28850,29834,32421,33516,33175,33801,35585,35633,37553,36740,36848,36762,36994,37338,38182,31552,34315,33232,33243,34025,34048,35428,35104,37224,36129,..
Memo: OECD Total,..,..,..,..,..,..,..,..,..,..,..,387623,399190,407693,413595,401207,428076,443906,477086,498559,511916,517894,541685,572597,616928,622013,630458,668726,670120,671297,656307,672456,706472,689640,700183,724900,744191,744247,759588,750870,766474,730113,745265,794339,830889,883101,908936,947687,984108,979536,1060483,1049146,1121366,1178411,1166875,1167216,1164602,1192141,1225630,0
Memo: Non-OECD Total,..,..,..,..,..,..,..,..,..,..,..,2376538,2417552,2459990,2508599,2563320,2606133,2651253,2690163,2740087,2783614,2830924,2882059,2923458,2988721,3038728,3074414,3132670,3168703,3217483,3301491,3341230,3371314,3385399,3428884,3472902,3516006,3551318,3577913,3636866,3624158,3621115,3676078,3724637,3758798,3773050,3791930,3822225,3873618,3908770,3961788,3972471,3961911,3982071,4004893,4016594,4103484,4126787,4135955,..
Memo: IEA Total,..,..,..,..,..,..,..,..,..,..,..,381062,392813,401465,407040,394583,421122,436628,469290,490518,503493,509425,532940,562971,606682,611589,619610,657395,658373,659480,637301,651440,683955,667185,676819,699828,717542,717605,731491,722241,736018,698950,713650,763242,798171,849930,874998,912750,948352,941357,1025700,1009620,1064725,1116756,1117382,1117960,1112218,1136870,1168876,0
Memo: IEA and Accession/Association countries,..,..,..,..,..,..,..,..,..,..,..,1871741,1917086,1956050,1993547,2013787,2065023,2108611,2162996,2216578,2252954,2283451,2330659,2383258,2463440,2493166,2522826,2595574,2613335,2643292,2666980,2707925,2761490,2749108,2777604,2807223,2838842,2859513,2871410,2882588,2875029,2816006,2851749,2908349,2942143,2969628,2980937,3024226,3073309,3060426,3152741,3110569,3137183,3157441,3138157,3118050,3162931,3183361,3218153,..
Memo: European Union-28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,202132,211539,213547,230009,229949,238505,254655,265210,268682,268039,276156,279359,290334,325911,339711,374079,398786,428775,462799,481292,529015,510264,554876,567142,553415,573436,582478,596303,602079,..
Memo: European Union-27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,199969,209286,210121,226301,224753,232974,248967,259274,262771,262351,270109,273104,283487,318056,330816,362878,386897,416531,445895,462545,507024,487962,531111,538482,520067,534894,541793,553852,553822,..
Memo: FSU 15,..,..,..,..,..,..,..,..,..,..,..,94513,93419,91341,92763,89919,90138,88278,85106,85434,86309,88497,91122,87840,93201,94920,88279,94412,88692,81548,68123,65274,63043,63514,45340,44735,44360,40371,36325,42150,37496,37953,37340,37830,38116,37671,39449,45837,44196,43312,45901,46841,48811,49891,49191,50415,54459,55928,57770,..
Memo: Former Yugoslavia,..,..,..,..,..,..,..,..,..,..,..,7633,4006,3844,3734,3962,4179,4165,3684,3452,3089,3850,4491,4272,4621,4574,4657,4057,4160,4319,11551,12387,11328,11628,11008,11235,12108,11757,11635,11458,13429,13541,13237,14255,14195,15327,14853,14581,14884,17027,17383,17427,17635,17708,17715,19341,19660,19359,22777,..
Memo: OPEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,270722,277803,284097,291013,298281,305921,313689,320764,329173,337108,345429,354753,365367,376853,388681,404204,418151,435045,447910,460972,479481,492368,512155,525562,524041,537098,548509,561160,573913,..
Memo: ASEAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,434833,432400,439068,448135,448340,449090,454809,459834,465431,461022,454599,443304,440739,440660,441337,426558,447641,434051,399018,..
Memo: G7,170800,168075,168633,171317,172651,171232,175799,175249,188161,193277,256503,257087,266508,270771,273425,262536,285877,300678,326821,342697,352847,353421,376471,401540,438966,441657,445498,479445,475539,457862,413218,427921,460793,425376,435276,450610,459651,453104,464614,453425,463059,426508,435791,480183,509085,547351,562250,590200,616737,606710,661941,649670,688046,736888,739366,733693,723490,735500,768151,0
Memo: G8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,470343,481821,511225,473719,467832,479653,484450,474417,482239,476744,481327,444192,452329,496566,525121,563727,577954,607827,631550,620319,675767,663844,702727,751072,752352,746872,736784,747722,780722,..
Memo: G20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2668407,2705217,2751679,2745433,2758550,2782553,2812787,2834934,2843659,2852992,2840374,2781597,2812336,2869071,2894205,2920270,2928015,2968577,3012966,2997892,3087651,3044078,3050202,3061948,3049732,3032610,3054681,3080764,3114186,..
Memo: Annex I Parties,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,668154,681001,709599,693807,690539,710477,730832,729879,739215,735697,746077,708431,723771,776717,813082,864361,891288,934553,972149,967061,1052211,1036303,1092185,1139329,1133245,1136610,1134861,1158275,1191387,..
Memo: Annex II Parties,233076,229791,229770,232976,233080,232395,235760,234806,246416,252082,317667,317440,326293,333471,338012,325211,350617,365266,395832,414974,428207,432933,455682,484503,526491,532145,535699,573200,575945,577491,545004,559505,588889,561499,573443,595772,611669,610106,623797,616662,632245,594691,609712,659570,693641,739934,765170,800726,833898,822652,899583,884622,933114,979586,977640,978180,974407,997356,1029284,..
Memo: Annex II North America,170800,168075,168633,171317,172651,171232,175799,175249,188161,193277,199745,200460,208526,212511,213377,201607,226798,241489,266897,280920,291425,291734,295069,314892,348191,345072,353504,385130,381458,363850,321050,327572,360263,327600,339447,352450,357258,347392,358154,347616,355055,317618,318421,336543,358727,370262,370534,375349,382656,370567,397308,405899,416603,447894,460212,441039,430621,433392,461954,..
Memo: Annex II Europe,43079,42519,42451,42611,42095,42389,41961,41176,40347,40955,101321,100295,100752,104417,105501,104305,104373,104125,109431,115232,117427,120827,121961,130245,137727,145333,142716,147261,151860,168927,181446,189356,188440,191399,191410,198980,207395,213866,218760,220779,227535,229097,237886,269394,279511,309427,333335,360699,388094,397640,438860,417286,455488,467266,453059,470091,480772,494419,497150,..
Memo: Annex II Asia Oceania,19197,19197,18687,19048,18334,18774,18000,18381,17908,17850,16601,16685,17014,16544,19133,19299,19445,19652,19504,18822,19356,20372,38652,39366,40573,41740,39479,40809,42627,44714,42509,42578,40186,42500,42585,44342,47016,48848,46883,48267,49655,47977,53404,53632,55402,60245,61301,64678,63148,54445,63415,61438,61023,64427,64369,67050,63014,69545,70180,..
Memo: Annex I EIT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89337,87666,86898,98780,83584,81534,86093,86808,82643,87143,83340,84381,85875,90063,93386,99396,101914,110258,115659,122581,131418,134681,142107,142452,139781,144050,146835,147867,151994,..
Memo: non-Annex I Parties,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3289644,3332686,3368186,3381232,3438528,3487324,3529365,3565686,3598287,3652039,3644555,3642797,3697572,3742259,3776605,3791790,3809578,3835359,3885578,3921244,3970060,3985314,3991092,4021153,4038522,4047200,4133226,4160652,4170198,..
Memo: Annex B Kyoto Parties,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,231923,241268,241066,260884,261097,270987,290942,302491,306301,307111,315424,318577,331440,366580,379981,415531,442905,477545,514746,526316,578324,558580,603683,617338,601333,624073,637500,655001,660266,..
Memo*: Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
"Memo*: Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
"Memo*: China, Macao Special Administrative Region",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Kingdom of Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Falkland Islands (Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Micronesia (Federated States of),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo*: Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
