TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Colombia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,90,83,108,119,126,115,140,137,148,137,140,148,158,169,198,2441,209,3913,4043,4205,4298,4644,4392,7056,3636,4644,4644,4691,3366,4676,3164,3190,3258,3226,6181,6368,6494,7661,1980,1973,2120,2149,2235,2783,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,497,522,590,634,695,713,691,727,796,857,900,943,1004,1030,1055,1109,1192,1213,1192,1174,1123,1120,1152,1156,1130,1138,1192,1237,1178,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,36,43,50,54,61,72,86,101,122,140,151,166,176,158,166,241,252,281,270,270,274,277,281,281,295,310,281,252,223,194,162,151,151,50,50,43,40,288,497,511,360,0,0,0,0,0,0,765,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,425,270,302,263,266,252,256,223,234,238,245,245,241,227,234,241,245,245,252,252,245,245,227,223,227,223,223,222,228,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,371,382,425,457,493,547,558,623,698,763,832,853,846,911,842,979,947,1033,1127,1062,882,763,608,562,691,698,767,702,774,810,796,720,860,950,922,990,1076,1134,1141,1001,1148,1145,1163,1138,1192,1152,1101,1169,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,83,104,119,65,43,50,65,68,79,83,90,104,112,130,133,151,151,144,158,194,209,198,202,220,248,284,274,306,320,342,335,364,407,410,425,454,486,554,508,540,482,454,500,522,504,605,604,625,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,4608,4604,5425,5785,6044,6235,6368,6556,6325,7531,6556,6440,6163,6883,8654,9029,10318,10717,12416,10465,11243,10012,6455,5742,5670,5731,4529,4770,4565,4216,4169,4104,3881,3773,3661,4399,3596,3665,3301,3290,3139,3006,2902,3348,3449,3384,3489,3463,..
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54,43,36,36,54,54,54,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,3240,3445,3600,6012,6228,6221,6912,6840,6570,6790,5569,5638,5771,5692,5731,5785,5836,6098,6170,6570,6854,6757,6476,6894,7038,6811,6973,7009,6775,6674,6858,6829,6858,7063,6797,6930,6754,6898,6649,6419,6577,6422,6424,6275,6331,6266,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3694,4360,4622,3060,3294,3910,4043,4032,4140,4000,2729,40,47,1962,2095,4486,3265,3226,3571,3704,3937,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,2250,2160,2052,2232,2398,2416,2376,2376,2556,2808,3096,3204,3625,3985,4309,4450,4396,4464,4594,4709,4990,5087,5353,5627,5940,6984,7589,8046,8532,9140,9839,10768,11808,12456,13388,13640,15152,16621,17402,17737,17233,22428,22068,23598,24318,24275,25405,26755,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,227,248,292,295,288,252,270,277,277,281,288,0,0,0,0,0,0,0,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7222,7214,3964,4039,1562,1318,1228,889,968,889,806,734,720,756,763,756,742,688,684,630,670,648,760,713,702,709,752,850,576,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,0,0,4,4,4,4,4,4,4,4,4,7,11,14,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Finland,540,720,799,828,918,1062,1224,1415,1667,1908,2567,864,936,1008,1368,1548,1764,1872,1980,2088,2124,2196,2232,2268,2304,2340,2376,2484,3780,3672,3600,3240,3060,3060,2952,2844,2916,2952,2952,2988,5476,5674,6102,4871,5108,4514,5663,6239,6055,5792,5958,5234,5702,5425,5512,5508,5684,5483,5429,..
France,655,706,605,634,810,1051,1260,1850,2149,2408,2934,3172,3661,4064,4324,4457,4828,4583,5155,5551,5548,5684,6048,6152,6754,7484,5778,5947,6329,7211,7582,8161,8258,8046,9432,9425,10393,9806,9749,9389,9814,10364,10807,11819,24836,26374,26946,24865,23782,26856,27418,28831,29932,30966,28674,31037,31050,31108,30077,..
Gabon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,114,..
