TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,526160,519758,517832,591964,601696,642960,641184,615873,648737,618747,716194,664608,689135,639108,622184,671189,702625,736246,752907,828933,861470,904851,949907,1015756,1119252,1082645,1000921,1074374,1153413,1158021,1015733,1059351,1099600,1007354,1037722,1061034,1085593,1156245,1233011,1230986,1327108,1306647,1256785,1242377,1197658,1259238,1265774,1271285,1151507,918545,966974,872131,816017,805585,855362,781217,736725,735164,641202,639726
Chile,..,..,..,..,..,..,..,..,..,..,..,55300,46936,50200,48321,38372,39285,41423,42304,45830,51118,50509,34204,41993,54501,52482,54671,53960,75452,98928,104511,83249,74067,74891,89187,98018,134478,173499,164686,170804,128558,100120,101378,100050,113214,113179,138903,136375,184347,148178,186911,226821,258155,271122,256862,274707,297352,307146,297574,343603
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,8037820,8420163,8569358,8490655,9929025,9982292,11419845,12844907,13162982,13084876,13046575,13760778,14571595,16032646,16404964,17084418,18236307,19523533,19835370,22211650,20965422,21656159,23075719,24746906,27131803,27698922,26723263,27191118,27224217,27830501,29225841,31688995,37742429,43809412,50396233,55991932,61287248,62882475,67959367,74961354,81267387,83160856,84807641,84763780,83594506,80779630,81781757,82878694,83991226
Colombia,..,..,..,..,..,..,..,..,..,..,..,73031,75906,77302,93447,91656,104145,107632,75835,74280,74525,77094,79581,84566,86660,84224,123151,127804,124876,130435,128896,134461,149244,155097,148571,150225,129336,127826,137619,99996,110319,119517,105574,114458,93798,113062,103299,100088,117886,130489,134717,146557,120056,196662,199396,211543,214574,162250,146224,-33444
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,26,1290,26,929,52,52,52,645,26,103,26,232,103,206,258,26,26,214,14,14
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33956,21539,16750,14230,8899,7316,5999,10183,9738,8626,18066,20093,24437,27201,28885,28624,26573,28849,29689,21215,28597,29425,26430,28265,27075,25363,27256,16426,15294,17045
Cuba,..,..,..,..,..,..,..,..,..,..,..,4140,4665,3321,2868,3313,2900,3219,3784,3306,4020,4182,5143,3969,4466,5137,4893,4615,4367,2405,5876,3930,1819,2179,2914,2646,477,962,1127,1262,1123,714,1089,921,952,813,282,791,951,924,811,138,163,375,55,215,82,110,65,51
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,..,..,..,..,..,..,..,..,..,..,..,0,26,0,0,0,0,0,0,0,0,0,0,0,1342,1909,1419,3896,2348,2632,2682,2682,719,857,747,553,498,525,719,830,1355,1423,1399,1447,1637,1493,1625,1395,1175,610,702,312,5,5,93,154,0,125,570,698
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,1561470,1542596,1489598,1318212,1358266,1403668,1486054,1364124,1465081,1400430,1394278,1441103,1453918,1466971,1429683,1418556,1405191,1384384,1297922,1316956,1205307,1081233,1029220,957993,949936,945252,969640,889447,769814,906132,886765,869783,880518,877534,847383,879169,894224,825787,737428,784043,769266,726666,718342,669666,687402,692860,662075,656587,592167
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,715179,731815,746915,772746,805633,855219,910362,957730,1019206,1083561,1120197,1180327,1230459,1265186,1320240,1301426,1240280,1256534,1246914,1183319,1148119,999235,916162,842668,771869,662755,650553,586880,656820,703910,725178,690990,707303,723433,763419,783101,638888,713063,529670,491598,336669,352623,235097,274007,205571,232939,508641,468447,818487
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,8875,8650,8740,8768,8541,9201,9322,8781,7877,8781,8932,8618,8448,8615,8591,8748,8873,8955,9199,9289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,172107,163800,177588,183729,165272,153602,156776,137356,126980,118879,91867,60573,53709,80831,69769,86380,118520,136269,143817,181419,246032,209999,243489,219564,237776,305671,307283,303105,285059,229352,254874,345650,286670,299921,320595,272013,373185,280147,237352,194132,166889,176073,175324,237219,182636,155490,229313,194757,167719,167617,159473,135421,103320,132870,106080,76101,82630,64835,72026,42805
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,197,367,5779,722,5986,2503,258,439,5005,4747,5547,1574,2064,2683,2735,3485,3128,4352,6730,15973,19909,32059,23894,37693,39036,33742,32345,33752,36049,30494,35042,44458,44086,41083,44716,49529,21466
Ecuador,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
