IEA	IEA国名	旧名称 MATCH 	CC	AIM23	AIM17	コード付与作業メモ
FINLAND	Finland	Finland	FIN	XE15	XE25	
FSUND	Former Soviet Union (if no detail)	#N/A	FSUN	RUS	CIS	FSUN付与、ISO 3166-1がSUNだったため。Fから始まる4桁は現存しない歴史配分の対象となる地域向けのコードとする、FSUN=XRW＋RUS
YUGOND	Former Yugoslavia (if no detail)	#N/A	FYUG	XRW	XER	FYUG付与、歴史配分の対象
FRANCE	France	France	FRA	XE15	XE25	
GABON	Gabon	Gabon	GAB	XAF	XAF	
GEORGIA	Georgia	Georgia	GEO	XRW	CIS	
GERMANY	Germany	Germany	DEU	XE15	XE25	
GHANA	Ghana	Ghana	GHA	XAF	XAF	
GIBRALTAR	Gibraltar	Gibraltar	GIB	XRW	XER	
GREECE	Greece	Greece	GRC	XE15	XE25	
GUATEMALA	Guatemala	Guatemala	GTM	XLM	XLM	
HAITI	Haiti	Haiti	HTI	XLM	XLM	
HONDURAS	Honduras	Honduras	HND	XLM	XLM	
HONGKONG	Hong Kong (China)	China, Hong Kong Special Administrative Region	HKG	CHN	CHN	
HUNGARY	Hungary	Hungary	HUN	XE10	XE25	
ICELAND	Iceland	Iceland	ISL	XRW	XER	
INDIA	India	India	IND	IND	IND	
INDONESIA	Indonesia	Indonesia	IDN	IDN	XSE	
IRAQ	Iraq	Iraq	IRQ	XME	XME	
IRELAND	Ireland	Ireland	IRL	XE15	XE25	
IRAN	Islamic Republic of Iran	Iran (Islamic Republic of)	IRN	XME	XME	
ISRAEL	Israel	Israel	ISR	XME	XME	
ITALY	Italy	Italy	ITA	XE15	XE25	
JAMAICA	Jamaica	Jamaica	JAM	XLM	XLM	
JAPAN	Japan	Japan	JPN	JPN	JPN	
JORDAN	Jordan	Jordan	JOR	XME	XME	
KAZAKHSTAN	Kazakhstan	Kazakhstan	KAZ	XRW	CIS	
KENYA	Kenya	Kenya	KEN	XAF	XAF	
KOREA	Korea	Republic of Korea	KOR	KOR	XSE	
KOSOVO	Kosovo	#N/A	KVX	XRW	XER	KVX、2008年独立、コソボ＞セルビア自治州＞ユーゴ
KUWAIT	Kuwait	Kuwait	KWT	XME	XME	
KYRGYZSTAN	Kyrgyzstan	Kyrgyzstan	KGZ	XRW	CIS	
LAO	Lao People's Democratic Republic	Lao People's Democratic Republic	LAO	XSE	XSE	
LATVIA	Latvia	Latvia	LVA	XE10	XE25	
LEBANON	Lebanon	Lebanon	LBN	XME	XME	
LIBYA	Libya	Libyan Arab Jamahiriya	LBY	XAF	XNF	2013年国名変更
LITHUANIA	Lithuania	Lithuania	LTU	XE10	XE25	
LUXEMBOU	Luxembourg	Luxembourg	LUX	XE15	XE25	
MALAYSIA	Malaysia	Malaysia	MYS	XSE	XSE	
MALTA	Malta	Malta	MLT	XE10	XE25	
MAURITIUS	Mauritius	Mauritius	MUS	XAF	XAF	
AFGHANIS	Memo*: Afghanistan	Afghanistan	AFG	XRW	XSA	
AMSAMOA	Memo*: American Samoa	American Samoa	ASM	XRW	XOC	
ANGUILLA	Memo*: Anguilla	Anguilla	AIA	XLM	XLM	
ANTIGUA	Memo*: Antigua and Barbuda	Antigua and Barbuda	ATG	XLM	XLM	
ARUBA	Memo*: Aruba	Aruba	ABW	XLM	XLM	
BAHAMAS	Memo*: Bahamas	Bahamas	BHS	XLM	XLM	
BARBADOS	Memo*: Barbados	Barbados	BRB	XLM	XLM	
BELIZE	Memo*: Belize	Belize	BLZ	XLM	XLM	
BERMUDA	Memo*: Bermuda	Bermuda	BMU	XRW	XLM	
BHUTAN	Memo*: Bhutan	Bhutan	BTN	XSA	XSA	
BES	Memo*: Bonaire, Sint Eustatius and Saba	#N/A	BES	XLM	XLM	カリブ海の島、旧オランダ領アンタイルの解体、2010年～、BES付与
BVI	Memo*: British Virgin Islands	British Virgin Islands	VGB	XLM	XLM	
BURKINA	Memo*: Burkina Faso	Burkina Faso	BFA	XAF	XAF	
BURUNDI	Memo*: Burundi	Burundi	BDI	XAF	XAF	
CABOVERDE	Memo*: Cabo Verde	Cape Verde	CPV	XAF	XAF	西アフリカの島、1975年ポルトガルから独立
CAYMAN	Memo*: Cayman Islands	Cayman Islands	CYM	XLM	XLM	
CAFRICREP	Memo*: Central African Republic	Central African Republic	CAF	XAF	XAF	
CHAD	Memo*: Chad	Chad	TCD	XAF	XAF	
MACAO	Memo*: China, Macao Special Administrative Region	China, Macao Special Administrative Region	MAC	CHN	CHN	
COMOROS	Memo*: Comoros	Comoros	COM	XAF	XAF	
COOK	Memo*: Cook Islands	Cook Islands	COK	XRW	XOC	
DJIBOUTI	Memo*: Djibouti	Djibouti	DJI	XAF	XAF	
DOMINICA	Memo*: Dominica	Dominica	DMA	XLM	XLM	
MALVINAS	Memo*: Falkland Islands (Malvinas)	Falkland Islands (Malvinas)	FLK	XLM	XLM	
FIJI	Memo*: Fiji	Fiji	FJI	XRW	XOC	
FGUYANA	Memo*: French Guiana	French Guiana	GUF	XLM	XLM	
FPOLYNESIA	Memo*: French Polynesia	French Polynesia	PYF	XRW	XOC	
GAMBIA	Memo*: Gambia	Gambia	GMB	XAF	XAF	
GRENADA	Memo*: Grenada	Grenada	GRD	XLM	XLM	
GUADELOUPE	Memo*: Guadeloupe	Guadeloupe	GLP	XLM	XLM	
GUINEA	Memo*: Guinea	Guinea	GIN	XAF	XAF	
GUINEABIS	Memo*: Guinea-Bissau	Guinea-Bissau	GNB	XAF	XAF	
ESWATINI	Memo*: Kingdom of Eswatini	Swaziland	SWZ	XAF	XAF	2018年国名変更
KIRIBATI	Memo*: Kiribati	Kiribati	KIR	XRW	XOC	
LESOTHO	Memo*: Lesotho	Lesotho	LSO	XAF	XAF	
LIBERIA	Memo*: Liberia	Liberia	LBR	XAF	XAF	
MALAWI	Memo*: Malawi	Malawi	MWI	XAF	XAF	
MALDIVES	Memo*: Maldives	Maldives	MDV	XSA	XSA	
MARSHALL	Memo*: Marshall Islands	Marshall Islands	MHL	XRW	XOC	
MARTINIQUE	Memo*: Martinique	Martinique	MTQ	XLM	XLM	
MAURITANIA	Memo*: Mauritania	Mauritania	MRT	XAF	XAF	
MAYOTTE	Memo*: Mayotte	#N/A	MYT	XAF	XAF	MYT, アフリカの南東部の島
MICRONESIA	Memo*: Micronesia (Federated States of)	Federated States of Micronesia	FSM	XRW	XOC	オセアニア
MONTSERRAT	Memo*: Montserrat	Montserrat	MSR	XLM	XLM	
NAURU	Memo*: Nauru	Nauru	NRU	XRW	XOC	
CALEDONIA	Memo*: New Caledonia	New Caledonia	NCL	XRW	XOC	
NIUE	Memo*: Niue	Niue	NIU	XRW	XOC	
PALAU	Memo*: Palau	Palau	PLW	XRW	XOC	
PAPUA	Memo*: Papua New Guinea	Papua New Guinea	PNG	XRW	XOC	
PUERTORICO	Memo*: Puerto Rico	Puerto Rico	PRI	XLM	XLM	
REUNION	Memo*: Reunion	R?union	REU	XAF	XAF	
SHELENA	Memo*: Saint Helena	Saint Helena	SHN	XAF	XAF	
SKITTS	Memo*: Saint Kitts and Nevis	Saint Kitts and Nevis	KNA	XLM	XLM	
SLUCIA	Memo*: Saint Lucia	Saint Lucia	LCA	XLM	XLM	
SPIERRE	Memo*: Saint Pierre and Miquelon	Saint Pierre et Miquelon	SPM	XRW	XOC	
SVINCENT	Memo*: Saint Vincent and the Grenadines	Saint Vincent and the Grenadines	VCT	XLM	XLM	
SAMOA	Memo*: Samoa	Samoa	WSM	XRW	XOC	
SAOTOME	Memo*: Sao Tome and Principe	Sao Tome and Principe	STP	XAF	XAF	
SEYCHELLES	Memo*: Seychelles	Seychelles	SYC	XAF	XAF	
SIERRALEO	Memo*: Sierra Leone	Sierra Leone	SLE	XAF	XAF	
SMAARTEN	Memo*: Sint Maarten (Dutch part)	#N/A	SMD	XLM	XLM	カリブ海の島、北部が仏領サン・マルタン:SMF、南部がオランダ領シント・マールテン:SMD
SOLOMON	Memo*: Solomon Islands	Solomon Islands	SLB	XRW	XOC	
SOMALIA	Memo*: Somalia	Somalia	SOM	XAF	XAF	
TIMORLESTE	Memo*: Timor-Leste	Timor-Leste	TMP	XRW	XOC	
TONGA	Memo*: Tonga	Tonga	TON	XRW	XOC	
TURKSCAIC	Memo*: Turks and Caicos Islands	Turks and Caicos Islands	TCA	XLM	XLM	
TUVALU	Memo*: Tuvalu	Tuvalu	TUV	XRW	XOC	
VANUATU	Memo*: Vanuatu	Vanuatu	VUT	XRW	XOC	
WALLIS	Memo*: Wallis and Futuna Islands	Wallis and Futuna Islands	WLF	XRW	XOC	
MGREENLAND	Memo: Greenland	Greenland	GRL	XRW	XLM	デンマーク自治領　なおアイスランドはXER
MGUYANA	Memo: Guyana	Guyana	GUY	XLM	XLM	
MMADAGASCA	Memo: Madagascar	Madagascar	MDG	XAF	XAF	
MMALI	Memo: Mali	Mali	MLI	XAF	XAF	
MPALESTINE	Memo: Palestinian Authority	Occupied Palestinian Territory	PSE	XRW	XME	
MUGANDA	Memo: Uganda	Uganda	UGA	XAF	XAF	
MEXICO	Mexico	Mexico	MEX	MEX	XLM	
MONGOLIA	Mongolia	Mongolia	MNG	XRW	XSE	
MONTENEGRO	Montenegro	Montenegro	MON	XRW	XER	
MOROCCO	Morocco	Morocco	MAR	XAF	XNF	
MOZAMBIQUE	Mozambique	Mozambique	MOZ	XAF	XAF	
MYANMAR	Myanmar	Myanmar	MMR	XSE	XSE	
NAMIBIA	Namibia	Namibia	NAM	XAF	XAF	
