TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,294957,325565,383829,445950,512500,593827,612915,678863,800199,909729,1009348,1039362,1126701,1159240,1016317,958944,1011532,993878,1062724,1062078,977148,869058,826016,738409,712207,718243,808892,792412,797252,770474,735052,813765,846803,820602,924580,921124,983526,985396,991784,966217,948995,961747,912229,981746,980944,983530,933698,897339,970031,931992,967724,893619,851584,893353,919630,919122,896658,887972,885919,863971
Benin,..,..,..,..,..,..,..,..,..,..,..,4182,5535,5668,5858,6408,3885,4667,5334,5373,5492,4122,4993,4980,5227,6557,5683,4972,4935,3723,3366,2722,2845,2841,2925,2924,12005,16183,15972,20196,21156,24246,28076,32038,34225,32491,44851,53252,53621,57304,63561,60831,59747,62138,62181,70813,87345,90875,100868,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,28886,31467,33329,36472,42374,45724,48572,53515,59629,57519,56396,54591,45763,46789,46217,38774,41800,42397,45234,47208,47384,49302,53132,60036,72164,78574,83236,94507,86656,71481,73951,72503,88909,89831,96844,95522,105821,110313,111214,119265,130640,137945,150523,160263,167226,172360,182839,184636,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84419,77111,22032,18486,22159,22792,23509,24228,29779,29420,48508,47163,45729,42687,50533,47278,51002,54282,62517,70458,71632,73485,65536,60329,61733,63896,72376,72020,70378,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,564,736,996,1167,1339,1382,1642,2116,3020,3838,6599,6573,6294,6441,6547,7991,8618,10492,11945,13839,13443,17626,17173,15161,16688,17215,18803,20512,22398,24403,26755,27425,29357,27749,28580,30869,33733,37306,34531,36475,37896,38921,40866,42578,42010,40553,41149,42980,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,1178485,1317481,1588501,1743038,1849497,2019998,2052472,2246322,2380800,2329609,2143777,2143998,2016290,1971611,2099076,2300607,2348915,2403954,2448730,2465763,2511754,2593229,2682750,2838681,3013027,3290610,3499681,3653017,3712481,3693909,3751746,3647099,3479238,3588474,3647311,3714319,3878463,4008256,3995110,4384795,4547418,4811276,5036283,5200602,4827209,4575572,4633362,4350568,4396002
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,2683,2417,2694,3097,3013,3598,3395,3612,4369,7399,6539,7673,6044,11436,11441,11349,2790,3576,5957,2042,1517,6982,5173,6245,9889,10799,13458,23106,22201,22381,21591,23066,23821,14644,15916,24019,26488,29565,25017,23606,28823,30239,24489,24925,24299,27754,27828,27397,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,413333,433047,471398,493649,501228,512297,552191,594802,608310,559691,503872,503642,505280,490787,466924,494264,448060,490374,475160,395821,258024,220129,250513,232550,251294,226933,184492,197813,185846,173308,174968,181035,187416,178155,200929,207187,199893,195594,176627,162174,154819,162199,148923,165063,177516,175395,181021,182099,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21407,22263,23248,26459,28075,29054,31081,31142,33676,34671,39128,42254,48008,47813,59124,66156,66650,69564,69279,71527,80719,92212,94280,103545,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,10164,10634,11049,11473,14477,13505,19417,20468,22250,23833,26554,29863,32382,34454,37353,36502,36315,38160,41123,39019,36614,34291,36676,38519,37267,37274,39471,41126,37117,43079,41491,43264,47398,48999,45290,47970,64107,60929,78662,80041,81745,74977,57133,79428,88793,84032,79742,77591,..
Canada,1757565,1792446,1895378,2027311,2150256,2297381,2352283,2583473,2747557,2854900,2957426,3010759,3209224,3323833,3396575,3572219,3649608,3673467,3703079,3831122,3706217,3525249,3172911,2950232,2998487,2922100,3036712,3151817,3150450,3317200,3203476,3000489,3089724,3171416,3169145,3231370,3280164,3415821,3536227,3595422,3646619,3656719,3564459,3879836,4059824,3978314,4187867,4209508,4113141,4009299,4031050,3995833,4080098,3980360,4127146,4382231,4145893,4243718,4335552,4464402
Chile,..,..,..,..,..,..,..,..,..,..,..,206620,219224,208070,200898,174049,186617,191683,198935,210078,212162,217770,194370,186608,186950,181857,194121,200992,223749,246790,270916,284614,308495,332799,361672,391719,432193,454745,462353,472616,438609,408580,435199,436862,459258,483983,513746,678086,682119,643356,628361,661076,653508,663397,644699,640246,674756,669345,684813,703768
