TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,..,..,..,..,..,..,..,..,..,..,..,80287,91105,106250,120730,133016,153684,173668,196103,222080,245592,243641,253451,271094,313880,346439,375700,377680,401227,412355,404420,414148,419710,440863,454237,457816,467118,487876,491137,498773,528228,501862,549544,578578,619420,631336,660308,693418,709988,670604,732060,753804,754636,756576,741355,707803,706367,718862,722736,705120
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,184,184,180,184,184,184,184,184,184,252,349,418,500,551,562,569,763,803,828,857,893,925,1008,1019,1048,1012,947,1026,997,1044,986,1069,1235,385,479,688,684,666,684,648,814,767,680,731,680,475,578,684,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,44636,46883,50530,52031,54400,59756,61308,62752,65207,59602,71136,73404,75287,77929,68018,76939,73746,75769,70225,66787,50393,43027,39290,41260,43801,44129,42523,38477,30474,30902,32526,30524,33109,34967,35417,36122,36644,37588,30215,28145,30319,29761,30640,31342,32519,32699,35054,35538,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22,50,76,104,126,133,162,310,342,421,515,673,857,1001,1163,1364,1548,2106,2286,2642,3244,5440,5562,6745,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,3182,3046,3013,3481,3636,3380,3049,2970,2840,2848,4187,4702,4486,4259,4640,4421,4320,4666,4910,4892,4831,4694,4954,4662,4604,4734,5141,4716,5173,5458,5148,4025,4558,5015,5346,9252,9032,9763,9792,10012,9263,9688,10210,10814,12269,11012,12444,13254,..
Canada,229820,222988,228640,231646,254862,274766,286589,296773,312700,331279,340142,347450,376376,381096,400961,367088,384185,409507,455314,459756,488426,505678,475682,498341,561082,599360,616586,621446,626148,610110,604598,610196,602852,622584,639122,665219,668081,680195,690826,707422,731927,729367,733212,744847,745438,741434,727250,710510,671756,625662,631642,631422,620903,628258,633546,628067,627512,655722,661889,..
Chile,..,..,..,..,..,..,..,..,..,..,..,17669,18058,17125,18756,16888,18511,19634,20732,22230,23090,23108,22309,23717,26132,26950,28228,29293,32508,35525,36547,40856,47552,49702,52211,59591,66308,72770,75726,87642,92459,97949,101027,111308,115834,117256,123469,128938,131432,131720,129071,138355,151754,153871,155999,152161,157000,149154,158726,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,319601,351929,385186,389801,452243,469080,515894,592441,651096,694764,704628,749088,808920,867096,874498,963187,1057716,1156266,1223320,1239588,1327896,1456920,1619885,1784189,1924592,2033986,2063131,2099192,2169918,2484187,2694823,3047785,3579527,4197020,4878691,5718096,6627942,6939119,7333232,8506346,9555642,10057921,10863155,11378297,11563805,11910121,12416641,13411434,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,13298,11534,12416,13936,14879,16024,16189,17010,18191,18184,19472,20002,21125,24034,22183,24037,24505,25722,30679,28649,30280,27706,32242,35446,36745,37501,40838,43085,35644,41108,40475,41278,43042,44496,45256,47470,49594,50123,51354,50864,58162,56106,65588,68270,67878,68155,70680,71855,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,130,137,155,162,166,166,184,184,212,259,187,281,209,461,158,418,684,666,716,738,785,774,688,666,673,666,562,457,295,493,482,594,565,544,594,713,745,767,853,886,1019,1332,1350,1343,270,302,372,376,..
