TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16626,15287,14400,4926,5885,5153,8645,5187,5914,6030,8353,5467,5171,6760,10653,12652,13311,14069,13962,7964,8355,9508,8757,6815,6357,7429,7733,8363,8334,8025
Botswana,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,..,..,..,..,..,..,..,..,..,..,..,4702,5163,7099,13015,14736,17246,21333,27894,30655,35423,31694,44816,63572,78371,93972,112575,124877,128649,137453,139601,136552,146730,160222,166257,178342,199869,221859,232865,261805,340442,430576,533020,549194,676336,719759,753447,764821,912880,731520,990850,985193,1172054,1380583,1522488,1515289,1284510,1361780,1283289,1297551
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,4076,4296,11127,21198,27448,36769,40319,37243,38181,48730,47519,50503,55451,59498,62952,53987,64277,52175,58833,70186,80198,80916,79474,72295,84213,83929,84374,74310,77127,77476,70863,67279,81079,81538,76965,107960,108661,118794,102408,112092,133358,130147,102902,123900,89483,97700,123367,127351,137326
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,10355,6977,7029,15316,40675,71139,90776,96841,103606,133169,144861,160301,168442,177102,193169,191828,213923,207808,213924,225906,193305,170258,159194,159943,191941,195782,154901,131009,112464,122732,114639,100581,104654,104363,117401,121442,126040,122012,90465,96312,110124,102625,100389,98917,108637,112479,115650,109365,102245
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12567,13033,10768,10863,7759,9311,10700,15532,17258,18639,20710,27183,23078
Canada,368378,444648,512657,561723,637277,720724,798075,875706,977197,1098867,1221963,1305375,1466734,1561054,1547333,1597034,1613589,1682123,1706918,1827573,1907729,1812788,1842121,1822404,1954198,2089228,2009396,2041505,2244980,2351595,2291986,2319699,2444367,2594231,2721783,2809789,2949105,2971154,2851937,2978700,3109048,3009433,3070958,3338066,3266768,3397913,3327068,3312330,3212777,3220462,3169256,3449704,3504354,3669133,3712811,3683657,4125965,4348684,4460981,4527311
Chile,..,..,..,..,..,..,..,..,..,..,..,26771,26482,22011,22785,25109,26729,27609,26343,29687,30145,30038,31023,32995,33099,33735,30848,30250,40246,59501,47816,40206,47818,44809,48156,47891,49099,82841,117869,165206,218040,247318,247081,269633,293614,284606,262246,160314,88262,116676,187094,191160,179455,170032,151795,166692,182044,181913,182628,231007
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,131180,169781,209729,264071,310408,354225,425037,480742,508053,500884,447179,418749,428577,442967,453040,482122,486677,499640,527321,536080,563059,553248,587445,615230,627918,647218,705630,731369,789950,869018,977875,1032146,1161226,1367178,1624042,1983320,2475778,2861159,3142688,3742244,4605193,5169212,5883071,6434601,6639779,7150050,8172269,9644683,10475680
