TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20329,14629,14124,14803,13987,14774,14651,16246,17609,17371,16783,17754,18854,20181,19588,19917,19977,21222,20164,19065,18249,17950,16420,15901,15117,15513,15859,16193,15294,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,20814,20235,21703,23557,24185,25138,27472,29714,29685,30492,30382,30519,33203,34644,32179,32762,34604,36521,37748,34117,26563,21232,19635,21148,22449,24405,26398,26052,26900,27344,26466,25241,24503,24224,25051,25442,26313,25469,26297,29509,27812,28089,26648,26211,26845,27812,25054,24377,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,14514,14113,15607,14123,10195,10848,10982,9270,9181,8676,8041,7294,6827,6689,4498,4295,3964,3458,2955,2665,2764,2860,2325,2628,2634,2661,5262,5434,5401,5621,5658,5412,5428,5669,5978,5883,6393,6327,5931,4378,5626,5091,4645,5218,5271,4510,3488,2783,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,1744,2170,2275,1735,1658,1939,2115,2234,2429,2575,2528,2572,2621,2739,2765,3034,3595,3650,3814,3891,4444,4749,4941,5145,5048,5348,5472,5815,6073,6305,6189,6343,7018,6907,7048,7114,7425,7579,7502,7261,7001,6516,5630,5777,5901,6269,6377,6310,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,153473,152415,149354,148493,154982,159829,169335,165308,174865,167969,168595,171257,172464,175139,175254,175249,176287,172841,165298,150203,136902,131673,128787,122499,123175,124625,122708,116853,109983,121230,121092,117125,121281,121811,118370,118850,121582,116309,109600,112460,109319,105654,101384,98268,99425,101160,101691,100749,95685
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,69212,71536,72855,75906,78599,84569,89499,94861,101686,108130,111334,116567,121169,124410,129448,127091,121587,123440,122695,116848,110842,97786,89806,81859,76532,67127,64688,59647,64961,69969,72315,69073,70533,72093,75340,76534,63275,70381,52919,49293,34659,36052,25106,28676,22546,27296,19580,15322,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,2577,2643,2623,2690,2621,2690,2805,2861,3202,3168,3386,2636,3581,3474,3254,3006,3317,3483,3300,2990,1635,1411,1373,1215,1143,1152,1152,1274,1255,853,713,771,938,1013,1282,1393,1543,1716,1737,1869,2345,2271,3476,4657,2735,1979,2202,2123,..
Denmark,30951,31938,36032,39669,40211,42733,46202,44981,48576,56197,59489,55422,57405,56253,50017,52646,58310,59935,59551,63079,63061,52871,55048,51690,53285,61032,61597,59815,55991,50177,50983,61204,55320,57702,61616,58385,71638,61887,57967,54781,50834,52412,52123,57522,51880,48525,56431,51664,48694,46959,47288,42066,37172,38897,34710,32507,34100,31960,32022,28731
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,3486,4573,4636,4998,5213,5347,5678,5830,6151,6329,6000,5794,6754,7079,6234,7070,8083,8133,8669,7403,7697,9033,8974,10590,11221,12025,13718,15806,16813,17595,17811,19589,17504,16155,17522,18786,18938,18866,18106,19025,19310,20036,19596,19457,21523,22541,21469,23202,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,3495,3522,3968,5235,5936,6863,8096,9239,9699,10407,11801,11823,11093,11188,11666,11915,11624,12292,12023,13321,13914,14826,14044,14908,16691,19211,20437,20407,17882,18307,20320,20466,20750,22064,23832,25623,25994,26471,29172,31580,32059,33296,35665,37396,37181,35535,34382,36235,..
