TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,52154,50242,51379,53937,56141,58709,56907,56530,59040,57179,65761,63886,59312,59986,58728,59020,64874,69397,70379,75666,82131,81704,87309,95062,104491,100848,92886,99788,107914,108282,96151,101157,104256,95634,98906,100654,102530,109054,115827,116435,125888,123281,120097,119252,113006,111303,109476,117753,107938,89850,92634,87385,79939,76270,74480,69176,69286,69595,57102,..
Chile,..,..,..,..,..,..,..,..,..,..,..,5143,4383,4630,4539,3598,3715,3904,3907,4280,4848,4859,3158,3794,5134,4977,5125,4941,7035,9203,9789,7940,7158,6994,8479,8892,12362,16027,15138,15620,11665,9197,9306,9080,10405,10258,13397,13006,16090,15081,17541,21443,24653,28015,24219,27761,29252,29418,28137,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,659419,690579,701060,693759,818323,822376,944019,1076774,1105487,1101423,1110358,1173750,1239923,1368244,1384717,1462213,1570977,1695621,1757394,1790815,1880787,1950013,2100052,2211796,2472897,2434326,2450317,2534369,2390659,2532579,2669533,2894738,3380269,3924470,4567807,5051398,5508938,5675895,6116468,6574329,7282329,7434762,7703128,7590950,7461959,7356689,7444252,7612274,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,6092,5998,6412,7681,6655,7301,7332,8829,8851,8845,8777,8511,8736,9017,10165,10908,11966,11111,12264,12230,12656,13093,14801,13927,13948,11787,12408,11821,9872,12137,12136,11458,11390,9452,10472,9727,10252,9960,12361,10809,12596,10014,15895,16371,15562,15654,12911,14230,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,122,2,88,5,5,5,61,2,10,2,22,10,20,24,2,2,20,1,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3402,1571,1416,1182,727,739,609,1004,956,851,1741,1937,2353,2610,2765,2748,2553,2767,2834,2031,2730,2808,2517,2693,2580,2414,2595,1573,1463,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,408,460,327,281,323,285,315,375,329,401,417,511,396,459,514,487,462,436,228,588,393,182,216,290,263,49,97,114,128,113,72,109,92,95,81,29,79,95,93,81,14,16,37,5,21,8,11,6,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
