TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3838,4352,2225,1364,1663,1735,2232,2682,3136,3251,3780,3858,3899,4244,4374,4846,4835,4828,310,0,0,0,0,0,14922,14989,18219,14882,14587,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,43,43,43,43,43,43,43,43,43,43,537,553,603,616,638,638,761,829,1026,1026,1288,1645,2105,2221,2308,2162,2148,4710,3318,3968,4005,4164,3215,2761,2423,2444,2634,2538,2541,2876,2832,3178,3448,3664,3721,3822,3962,4156,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,58933,65735,72669,78351,86133,92375,96598,103699,112368,123518,126371,133154,140934,142460,149382,156289,165531,180970,182410,195257,197272,206022,212962,235105,254809,260571,283943,305758,325930,342776,328356,339872,343415,354062,372482,379896,396912,408219,414114,433636,455171,478977,499441,527612,525831,519220,522465,531889,550134
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,335,335,331,338,338,338,338,338,338,464,641,767,922,1015,1037,1051,1408,1480,1530,1584,1613,1904,2473,2938,3618,4417,5479,5821,5659,5911,5263,5814,5972,7204,7596,7664,7992,5011,5245,5591,5890,5965,5857,6534,6602,6152,6111,6435,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,5511,6885,8356,9804,10965,10214,14450,18757,16578,16263,19381,21181,23107,17504,16675,17811,18963,18135,7871,66513,31299,22381,28016,36297,29429,32273,25415,27194,28450,27527,32298,31249,31919,29374,34494,39400,37431,39992,39279,41413,43851,42824,40420,38814,42031,45049,45211,47684,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,115,176,212,274,310,392,486,619,680,695,853,1044,1354,1609,1696,1958,2365,3218,3492,4039,4961,14780,15150,17662,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,15713,16105,16464,16855,17297,17807,18361,18956,19561,20130,20692,21326,21894,22448,23121,23641,24302,24909,25557,26179,26874,27648,28402,29218,29200,30122,31057,32017,32832,33483,34193,14484,14961,15489,15774,18014,18377,19245,19909,20129,20729,21421,22213,23190,44035,44998,46360,47655,..
Canada,214214,236322,263361,315914,351069,402201,451797,506788,578543,632438,671226,695728,788937,707227,752371,707936,764889,813192,782616,789397,765707,782736,870682,856107,870613,865446,870977,821096,882262,931547,770044,794035,806105,835385,834829,858860,878814,897530,855804,888254,962144,948281,1045038,1080574,1076325,971556,919292,952668,968925,967380,948464,992381,955016,986941,1037075,1017667,1016348,1078695,1113605,..
Chile,..,..,..,..,..,..,..,..,..,..,..,3928,4351,4498,4925,5054,5466,5196,5677,6050,6242,6914,6937,7408,8667,8025,8101,8135,8846,9623,19997,21099,22754,24020,25476,26621,27531,26117,22473,24126,26076,26923,29230,34077,39267,38859,40687,43495,47412,48377,57252,66380,59918,64082,65449,67269,75253,83551,79916,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,170127,176144,180288,183363,194565,196204,213974,233238,246318,241322,219819,243206,266267,274836,416600,423509,455649,527852,582284,648466,694524,761276,961753,918288,974069,1308119,1181743,1222119,1371306,988154,1054868,1095435,1244997,1529506,1610637,1755739,1924679,1931611,2079033,2310744,2598154,2838202,3032346,3106044,3307994,3437249,3580823,3854358,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,11568,10319,8708,11637,11223,12139,12768,13914,13863,14072,15090,17568,19693,20805,26493,29333,25576,23994,24824,29616,31370,32588,33483,36387,38367,41140,44117,48495,46193,49684,37532,46887,49228,43412,44231,48093,49176,49786,54303,60479,64033,70733,61693,64400,63837,64798,73897,69266,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,791,616,616,10043,10596,11439,11684,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,72,83,94,97,119,122,133,158,166,155,252,263,266,284,295,295,310,328,3430,3962,3597,3682,4123,4502,4653,5093,5722,6338,6871,6566,6891,7526,7455,9958,9928,11250,12149,12848,12764,13496,13468,14079,14411,14822,15348,16008,16173,16570,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,7295,7681,7804,8220,8528,9200,9633,10109,10998,10778,11247,11244,11159,10774,11364,11806,13123,13719,13941,14454,14524,15236,15347,15919,16675,17173,17515,17836,18701,19022,19733,20059,19784,21073,21700,24525,25649,26796,23962,24567,26918,29651,31090,34136,30113,33549,31626,30062,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18239,15179,12224,14789,16536,18409,18250,20060,20761,20775,20596,23595,25118,26828,27888,28989,29011,28842,30601,30858,32479,31929,30689,29870,28284,31089,31914,33499,34151,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,2877,3277,3568,3653,3749,4036,3954,4199,4777,8049,5041,5214,5208,5335,9458,10203,10685,11748,12433,9928,9167,8210,8256,8429,8967,9983,10798,10924,11992,12930,13336,13695,14565,14419,12137,12119,12401,13843,13347,10353,10753,10912,11107,11739,12401,11802,11153,11360,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,724,731,727,752,847,859,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,65,72,76,68,61,61,65,724,68,72,76,72,72,76,1120,1192,1310,1483,1620,2203,2365,2542,2729,2995,3017,3064,3676,3877,4489,4504,5242,5702,5990,6164,6726,8596,9031,9601,9846,10367,9869,9296,8484,8376,8630,9413,9835,10041,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,25936,26133,26014,26880,37202,38794,34951,45278,45533,66323,73504,64727,70492,75134,86998,88811,96667,91490,85769,126864,134640,79051,71615,68727,101175,96712,98194,110785,122544,124413,134610,126820,143564,146027,131312,129520,124347,132063,124481,135834,130914,126987,125701,121996,124235,128939,132592,130271,..
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5080,5119,1620,1195,785,817,871,680,677,738,695,745,4396,4741,2894,2664,2567,3603,1154,..
