TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10850,9914,8856,7157,8687,9108,9565,11491,13428,13914,13183,13442,13615,13910,13878,14627,14774,14749,15606,16340,16362,16369,16556,16646,16578,17014,17039,17122,16866,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,65,65,61,68,76,104,119,126,144,151,155,155,209,259,284,317,349,446,536,583,626,684,626,803,1008,1202,1336,1512,1760,1940,2102,2455,2682,2768,2984,3143,3164,3305,3337,3388,3438,3679,3834,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,33221,35755,39395,43272,47556,53557,61679,68206,75672,83747,90187,97456,107050,111334,117482,128718,138164,145922,157421,175198,183733,186714,193064,201427,228892,248602,266656,285761,292648,301007,265572,261907,274115,282877,299495,308916,327172,344106,366404,390445,403096,423526,449626,475376,472734,478422,483983,496117,513258
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,256,256,252,256,256,256,256,256,256,353,486,583,702,770,788,799,1073,1127,1163,1202,1224,1292,1397,1512,1663,1746,1930,1854,1800,1883,1721,1400,1638,1703,1418,1116,1217,4345,4406,4252,4327,4817,4820,4820,4925,4990,4612,4705,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,10177,11617,13129,14807,16517,18691,19919,21010,23432,24638,25200,28800,30600,33998,34387,31266,34002,35766,36659,37706,37458,35993,36076,35302,39442,41350,35575,37944,36414,35489,35104,33502,33520,31572,32566,33498,33754,36097,37087,38012,39283,39017,37933,38124,38318,38639,40095,39467,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,256,436,554,619,677,724,796,1170,1181,1274,1566,1901,2344,2833,3276,3715,4309,5864,6365,7362,9043,6779,9702,11765,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,158,259,284,306,342,389,439,511,590,644,695,835,896,940,1116,1087,1188,1188,1202,1141,1148,1224,1253,1062,1040,1156,1260,1422,1440,1393,1393,1645,1786,1973,1865,2891,2981,3226,3251,3550,3787,3895,4000,4111,4691,4212,4760,5069,..
Canada,59324,67464,68638,72234,81925,91818,108130,114966,124326,138510,154156,176915,172649,187016,213462,230861,254923,275782,284116,288698,305384,314082,327157,345107,361739,373424,392641,401778,434246,467474,467392,465790,476042,476672,478375,473796,486893,484160,465559,479826,497642,504868,513508,532764,543521,543553,530352,568235,576169,580698,578351,598680,593892,616878,621580,613400,598169,604310,621349,..
Chile,..,..,..,..,..,..,..,..,..,..,..,3067,3791,4241,4306,4590,4597,5177,5634,6005,6430,6876,7045,6498,5908,7186,8388,9004,9047,8899,15592,16358,17816,19357,21114,22687,25351,18929,20632,21506,22252,24865,25783,26424,28202,29822,30766,32047,31496,32044,33689,34376,36547,39125,40939,42318,48960,45264,48330,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,17420,19184,20995,21247,24653,25571,28123,32296,35492,37872,42480,43380,49428,57276,80100,89244,103140,123588,142272,72864,195696,230400,265352,312109,362009,384494,451134,476820,533081,522702,579323,637711,740894,858416,1038532,1206569,1462576,1582596,1753978,1844867,2023222,2238826,2516098,2583396,2723476,3031416,3265765,3527411,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,12150,12881,11783,11221,14767,16322,17039,19868,22457,24671,25070,28498,29693,31748,33556,35510,37984,39607,43128,45238,46800,43135,47563,50735,52661,53086,53024,43549,41735,40068,52092,51851,54583,56851,58514,60854,63425,65326,68674,70733,72148,74948,75013,78235,80557,81684,83449,88885,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,133,140,155,169,187,209,209,216,227,241,155,371,259,529,328,860,623,526,518,508,612,594,515,508,536,587,482,374,241,421,475,511,522,558,644,691,767,788,878,914,1163,1519,1537,1530,2318,2491,2432,2495,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,2365,2603,2747,2995,3200,3496,3542,3838,3719,4367,4730,5234,5342,5681,6134,6667,7258,7502,5249,5616,5810,5980,6451,6894,7074,7351,7628,8183,8568,9029,9396,9796,10278,10627,11012,11466,11822,12046,11927,12082,12190,12506,12478,12658,12992,13392,13598,13844,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,281,346,446,468,594,677,832,997,1390,1649,1728,1958,2052,1667,1710,1753,1796,1840,1883,1926,1969,2012,2056,2099,2160,2376,3337,3089,3240,3380,3323,3287,3316,3726,3564,3978,4518,4702,5504,6628,6055,7060,6163,6296,6854,8017,7535,8589,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16074,16060,14573,14926,15152,16636,17633,18680,18961,20671,20624,20016,21434,20498,21859,22799,23472,23011,24160,23296,23990,23548,23350,22453,21719,22327,22061,22557,22326,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,3668,4003,4198,4406,4720,5044,5692,6228,6991,7621,7232,7902,8323,8946,9655,10436,10483,11030,11707,11902,11682,10804,10595,11822,11786,12060,13086,13644,14368,15286,16153,17615,18443,18036,18310,20135,22079,21780,23112,24001,24764,26363,27842,28822,30485,31712,32024,32445,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,965,983,1008,1069,1071,1060,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,554,641,709,637,490,504,565,619,630,659,691,742,821,842,914,972,1123,1303,1465,1616,1699,2113,2344,2430,2732,2966,3002,3254,3427,3798,3751,4165,4662,4738,5159,5400,5789,6059,6199,6257,6203,6023,5173,5130,5454,5706,5992,6078,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,11642,13046,14126,15221,16596,18130,19192,21150,21179,22226,22918,23897,25200,27061,28822,29920,31428,31936,33246,34643,35543,37235,41036,47462,53449,57640,55811,52222,50573,49759,51260,50836,52229,52290,52988,54713,52726,52931,52873,54101,51120,52492,52978,50850,51775,53766,54761,54178,..
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,2646,2880,2880,3215,3118,3420,3420,3830,5018,5954,6116,6156,6084,5684,3445,4234,4712,5450,3787,3794,3636,3643,3654,3838,4435,4396,4421,4763,5396,5623,9472,7398,7362,8032,7560,8111,8982,9688,9911,9115,8784,5648,8902,..
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,23760,22547,23652,24120,24840,26172,27648,26784,26539,26712,28944,30463,32890,34492,35874,35791,35644,34812,36486,36752,37195,37541,37062,38146,37141,36947,37022,36774,36572,36684,36943,37195,37616,38063,37256,37008,36346,37400,36400,35960,37105,36374,36636,37066,35510,35183,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,2772,3776,4061,3935,4478,4313,4856,4770,5695,5443,5652,4313,4439,4939,6073,6030,6660,6739,6026,8957,9799,10714,10278,10832,10411,12964,13072,10771,12794,13482,13950,15023,15444,13576,14796,15772,16132,16546,15959,16531,17014,18284,17813,18983,19379,19778,18249,18606,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,1094,1228,1282,1440,1980,2160,2520,2880,3182,3726,4018,4352,4813,4813,5022,5108,5987,6070,6196,6732,7258,7690,7920,8737,9263,10418,11696,12247,10598,10091,10498,11153,11772,12658,13327,14026,14742,15786,16819,18410,19264,20264,21172,22910,24941,25578,26273,26641,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,7308,7362,7398,8478,9612,10865,12625,13176,14490,16416,18306,19742,24538,27947,31860,35294,38970,41188,44482,48038,50918,51905,54619,57395,60584,61589,64501,71636,78556,84766,92423,99781,107363,112720,122040,131746,144976,157720,170752,184932,203990,215125,223063,232366,264100,230850,240512,245453,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,925,929,1127,1210,1321,1444,1613,1818,1987,1382,1379,1440,1573,1660,1717,1840,1987,2131,2232,2344,2545,2700,3020,3283,3618,3809,4136,4316,4914,4738,4810,4943,4759,6296,5526,5710,5846,5846,5882,5818,6210,6239,6023,6275,6574,6840,6760,6896,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,36,36,36,36,36,36,36,36,36,36,40,43,47,50,54,58,61,65,68,72,72,72,79,79,79,79,79,76,76,166,133,266,284,353,382,443,504,533,619,720,936,1030,1224,1368,1584,1800,1716,1611,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,130,112,115,130,151,176,205,220,220,248,281,306,331,353,338,360,367,392,418,425,432,436,439,443,446,451,573,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3172,3326,4428,3942,4572,3841,4442,4338,4856,4907,5278,5706,5702,5738,5825,5832,6030,6383,6642,6782,7283,6962,7042,6714,6260,6221,6887,6984,6696,..
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,346,313,306,313,320,338,353,400,454,544,565,612,652,706,778,781,720,922,940,1112,1314,1458,1573,1732,1908,2009,2048,1858,1789,1872,1422,2128,2318,2560,2768,3517,3816,4241,4288,5299,5674,6624,8550,9310,11779,14623,14771,15163,..
Finland,2567,2635,3132,3560,3899,4392,4907,5396,6318,7348,9626,13270,15541,18079,18490,19901,23306,24502,26575,27911,29002,30344,32342,34006,37462,43859,45090,49637,47977,48582,52556,56304,57085,58727,61139,58525,62046,62719,65311,66420,62788,67133,68738,71687,71230,72976,74434,74398,73422,76846,82454,77134,80575,77436,76550,75305,81065,81043,81832,..
France,27191,29606,33779,38693,46105,45205,49957,55386,61672,68749,76230,84395,95796,108608,118955,137390,155192,171104,194008,209495,221576,231606,242870,269636,287388,308801,322517,335826,328824,336636,348869,384541,394535,401292,400396,391831,433832,428702,443329,456959,463392,481993,478793,509594,516168,498539,515977,509720,549547,536515,581472,526571,569463,598067,536477,559551,580191,573144,569988,..
Gabon,..,..,..,..,..,..,..,..,..,..,..,313,0,317,317,317,346,396,396,407,594,972,1026,1361,1116,1404,1368,1408,1415,720,842,835,835,839,1379,1451,1588,1678,1764,1876,1850,1980,2084,2160,2167,2214,2340,2441,2563,2578,2722,2873,3046,3215,3359,3467,3773,4138,4172,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10447,9659,9716,10624,10447,16596,8244,9335,10620,9947,9587,9274,8968,9648,10156,10660,9781,10066,10300,10494,13630,11959,12143,8114,8874,8863,8723,8859,8942,..
Germany,43999,49957,57809,69606,76147,85982,96192,106045,119124,134852,208386,233744,260770,282802,301093,320436,345010,362322,390920,402217,414058,419911,425930,438386,458273,477418,483815,503467,490244,490684,493394,439754,442091,453935,448319,457834,482944,470923,469714,472612,469800,482400,491400,500760,505440,508680,509400,504360,502200,501120,510120,491760,493200,489600,466560,463320,461520,461520,461520,..
Ghana,..,..,..,..,..,..,..,..,..,..,..,590,670,778,1084,1458,1782,1955,2034,2131,2142,2297,2178,2106,1962,1940,2192,2506,2588,2894,3258,3697,4424,4921,5321,5854,6869,5321,4399,5738,5324,5803,6016,6217,6624,7042,7279,7189,7805,8190,8939,9097,10148,11016,9979,8770,21067,22345,23237,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
