"MODEL","SCENARIO","REGION","VARIABLE","UNIT","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015",
"IEA","Reference","XE25","ChangeRate_Energy_Intensity","TJ/billion USD 2015/y",0,35.4233865736041,182.776771435352,-73.5987668783468,-51.6582499449665,-87.7678174336481,-129.123022940804,-70.8372884411516,-118.780825625743,-35.4745549154992,-75.0831905250971,-122.48324076039,
"IEA","Reference","XER","ChangeRate_Energy_Intensity","TJ/billion USD 2015/y",0,59.7981911443757,70.1844366796948,1134.85216023173,70.456481050776,-60.7394944470718,-75.4271690872622,-327.644427535443,-196.145486325504,-55.8395438702866,-75.1821388755934,-138.890045339792,
"IEA","Reference","TUR","ChangeRate_Energy_Intensity","TJ/billion USD 2015/y",0,31.2039228018108,-19.4424529902681,142.434918110723,66.487878769113,-21.2251674018216,-2.79953292112623,16.3418970127374,37.8570626176344,-199.369824769907,98.9649720206378,-196.55229562751,
"IEA","Reference","XOC","ChangeRate_Energy_Intensity","TJ/billion USD 2015/y",0,19.961103870308,-16.5788072305913,31.7285228016826,8.73156139357125,-101.576749783316,40.5695213040332,-93.42976366274,-36.8924375881143,-139.599278133004,-26.5266067177094,-111.528222302358,
"IEA","Reference","CHN","ChangeRate_Energy_Intensity","TJ/billion USD 2015/y",,,,,-1394.13229017432,-2937.93843018843,-1016.75136793109,-1990.81308006318,-1196.91179377825,-9.36160048465681,-507.627843375829,-511.342851412616,
"IEA","Reference","IND","ChangeRate_Energy_Intensity","TJ/billion USD 2015/y",,,,,-12.8337511642705,-246.039743799562,-433.389967745104,-287.739267583725,-602.969910734981,-673.368088867384,-118.305842125011,-498.515738552236,
"IEA","Reference","JPN","ChangeRate_Energy_Intensity","TJ/billion USD 2015/y",0,82.8400276186114,140.081679284998,-71.5152752884087,-126.79627427236,-183.297808218244,-54.83796190959,47.1700285621828,-5.88715016340884,-54.8780878365114,-46.9755748232839,-179.928300467876,
"IEA","Reference","XSE","ChangeRate_Energy_Intensity","TJ/billion USD 2015/y",,,,,-117.703238224637,-306.082952624632,-94.6243656534334,-131.855466280373,46.6990410383354,-182.644894437752,-219.795639842383,-198.129702619979,
"IEA","Reference","XSA","ChangeRate_Energy_Intensity","TJ/billion USD 2015/y",,,,,-253.967659950917,-76.9141482986517,51.5750786899051,-73.7488559769677,-29.7379275801031,-168.648984055365,-199.943928725431,-237.711669377319,
"IEA","Reference","CAN","ChangeRate_Energy_Intensity","TJ/billion USD 2015/y",0,14.8600307311368,208.610049225049,-54.4214242264912,-95.1372475133492,-280.425500317565,-78.9093189994768,34.457035841791,-224.195189190229,-89.3141195072425,-175.615451130396,-40.0237734491035,
"IEA","Reference","BRA","ChangeRate_Energy_Intensity","TJ/billion USD 2015/y",,,,,-128.743037775861,94.1841522190713,-40.610981980131,-15.4984926420279,59.2001139511398,-4.00049967420109,-10.1113607356643,66.7620239328613,
"IEA","Reference","XLM","ChangeRate_Energy_Intensity","TJ/billion USD 2015/y",,,,,88.9150964512723,38.0130504836359,47.9204391851757,-89.4206179609779,-3.38012833843859,16.449733237968,-102.03462795994,-72.162828955124,
"IEA","Reference","CIS","ChangeRate_Energy_Intensity","TJ/billion USD 2015/y",,,,,-232.988800395263,72.8101796805931,670.638163262664,1165.35967719654,-1170.81913906387,-1682.00001150753,-820.351122852202,-704.955828203321,
