"MODEL","SCENARIO","REGION","VARIABLE","UNIT","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100",
"AIM/Hub V2.2","Baseline","BRA","Electricity_Rate_Total","EJ/yr/EJ/yr",0.181342946228832,0.184175286538238,0.189300493197448,0.189700712589074,0.194945717294216,0.199725547804822,0.203750503293898,0.205851549604953,0.204424648095285,0.200883037521096,0.185622762678794,0.171371622619223,0.163024208886879,0.163841848296173,0.167797184398134,0.174042965595219,0.195551674943285,0.220033334688402,0.236183489892787,
"AIM/Hub V2.2","Baseline","XLM","Electricity_Rate_Total","EJ/yr/EJ/yr",0.144195890641877,0.160673855705716,0.167756003312172,0.174207692793001,0.180182905310707,0.19024756616976,0.20181656567115,0.215721773915442,0.233038983415895,0.255828033905645,0.259175478620094,0.263758301862222,0.268863103686128,0.274462032447048,0.278937374877027,0.282023699527223,0.285149625479973,0.286915503171979,0.288610796478402,
"AIM/Hub V2.2","Baseline","CIS","Electricity_Rate_Total","EJ/yr/EJ/yr",0.126435240032486,0.130286112567974,0.13455855693985,0.138605841613972,0.14268707189565,0.147534587309587,0.153365953300297,0.160834232437987,0.170742791998213,0.180847713167488,0.183407887294977,0.18686246539418,0.190551585214078,0.194086541077346,0.197751903546744,0.201370590570873,0.204147116538507,0.206573216816857,0.209234612192032,
"AIM/Hub V2.2","Baseline","XME","Electricity_Rate_Total","EJ/yr/EJ/yr",0.130256212715896,0.133801848327144,0.144634580824164,0.153078327071808,0.160649732024307,0.168832727676468,0.180763425811586,0.198096815078294,0.222254512342495,0.242908137989786,0.245839266692209,0.2487723228546,0.251722333473427,0.25505768467316,0.258775394978543,0.262416837564869,0.265995374556252,0.269038720456183,0.27178366975188,
"AIM/Hub V2.2","Baseline","XNF","Electricity_Rate_Total","EJ/yr/EJ/yr",0.157071575328106,0.167614226621083,0.170937764010138,0.175169287271893,0.178961208051978,0.183534494904429,0.191354504781121,0.206236534518469,0.238161950126086,0.280589316473724,0.277885950120646,0.276043697021894,0.298780655134878,0.33029930914238,0.369355476091797,0.411971412733608,0.438254615585511,0.455462966708466,0.462920693018532,
"AIM/Hub V2.2","Baseline","XAF","Electricity_Rate_Total","EJ/yr/EJ/yr",0.0732135028496274,0.0779455269395221,0.0862184791335551,0.0927631645685186,0.0977837196603084,0.102310346486375,0.108537790053021,0.11808216046401,0.135074913561275,0.152162177648702,0.153829671819908,0.162216078201792,0.175764638395993,0.192661783764596,0.217468869588764,0.243688250479506,0.28352530790564,0.313093843189302,0.327064203600607,
"AIM/Hub V2.2","Baseline","XE25","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.000305578641167192,-0.000449745442510779,-0.000481924973084019,-6.32282436245968e-05,0.000567149216489138,0.000886208094553354,0.00152069919000531,0.00200917937397654,0.00295328937677229,-0.000538839981136163,-6.72783742407923e-05,0.00110001465561724,0.00263292612679109,0.00331092153713471,0.00375138102370869,0.00642100957494315,0.00561545321005984,0.00335771719739814,
"AIM/Hub V2.2","Baseline","XER","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.000541825001775253,0.000462505650186762,0.000126823808128806,0.000343660087215292,0.00100813496234212,0.00157287395647756,0.0028023946234175,0.0044447817605909,0.00531604385675465,0.00141750429109475,0.00198354179457267,0.00274397339987164,0.00339871197291175,0.00338071568849175,0.00322132774589078,0.00330511149503701,0.00214249013062833,0.0014455218824284,
"AIM/Hub V2.2","Baseline","TUR","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.00316936430703179,0.00291554381406814,0.00202582385063685,0.00179880570512918,0.00157384220896011,0.00142472767366618,0.00166451338363507,0.00149606552735702,0.000208055643312044,-0.00189429184523882,-0.00141339913227289,-5.02332253487725e-05,0.00178859966896594,0.00252583456174064,0.00295460136394078,0.00643172093907036,0.00545742884148426,0.00249559686344295,
"AIM/Hub V2.2","Baseline","XOC","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,-0.00108251766977271,0.00118606716164794,0.000960026063755448,0.00158991421897524,0.00155948944101756,0.00227446352354309,0.00388196872440107,0.00546687116740608,0.00650171842228717,0.00118752025796356,0.0025388619513576,0.00347167614346953,0.0032907957514463,0.0029616663436642,0.002345625095034,0.00169270408084948,0.00110861772680529,0.000489246810626498,
